"",BBK01.OECJ01G,BBK01.OECJ01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:10,
2002-01,6.176,
2002-04,5.863,
2002-07,6.398,
2002-10,8.178,
2003-01,5.722,
2003-04,5.565,
2003-07,5.521,
2003-10,6.902,
2004-01,5.403,
2004-04,5.293,
2004-07,6.363,
2004-10,6.469,
2005-01,8.645,
2005-04,8.775,
2005-07,9.091,
2005-10,9.950,
2006-01,9.237,
2006-04,9.240,
2006-07,10.017,
2006-10,11.480,
2007-01,11.788,
2007-04,12.255,
2007-07,12.968,
2007-10,15.850,
2008-01,13.577,
2008-04,13.520,
2008-07,13.430,
2008-10,15.226,
2009-01,13.905,
2009-04,14.460,
2009-07,14.862,
2009-10,16.139,
2010-01,14.937,
2010-04,14.957,
2010-07,15.401,
2010-10,17.007,
2011-01,15.302,
2011-04,15.539,
2011-07,15.934,
2011-10,18.120,
2012-01,17.346,
2012-04,16.661,
2012-07,17.161,
2012-10,18.132,
2013-01,16.539,
2013-04,16.055,
2013-07,16.732,
2013-10,17.873,
2014-01,16.041,
2014-04,16.296,
2014-07,16.820,
