"",BBK01.OEBI05N,BBK01.OEBI05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:41,
2002-01,20.311,
2002-04,20.137,
2002-07,20.239,
2002-10,20.176,
2003-01,19.666,
2003-04,19.439,
2003-07,19.665,
2003-10,18.993,
2004-01,18.515,
2004-04,17.508,
2004-07,17.324,
2004-10,4.721,
2005-01,11.552,
2005-04,10.321,
2005-07,7.741,
2005-10,7.235,
2006-01,7.269,
2006-04,9.503,
2006-07,9.378,
2006-10,10.281,
2007-01,10.400,
2007-04,11.360,
2007-07,12.120,
2007-10,11.893,
2008-01,13.542,
2008-04,14.204,
2008-07,14.185,
2008-10,16.612,
2009-01,16.945,
2009-04,18.516,
2009-07,20.920,
2009-10,21.231,
2010-01,25.009,
2010-04,24.190,
2010-07,23.137,
2010-10,25.833,
2011-01,24.931,
2011-04,24.689,
2011-07,23.751,
2011-10,23.660,
2012-01,22.632,
2012-04,21.693,
2012-07,20.208,
2012-10,23.256,
2013-01,25.805,
2013-04,24.491,
2013-07,23.346,
2013-10,23.372,
2014-01,24.336,
2014-04,22.999,
2014-07,24.361,
