"",BBK01.OEYM05H,BBK01.OEYM05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:56,
2002-01,1.969,
2002-04,1.926,
2002-07,1.835,
2002-10,1.929,
2003-01,1.792,
2003-04,1.748,
2003-07,1.721,
2003-10,1.881,
2004-01,1.505,
2004-04,1.240,
2004-07,1.236,
2004-10,1.165,
2005-01,1.134,
2005-04,1.113,
2005-07,1.002,
2005-10,0.974,
2006-01,0.874,
2006-04,0.867,
2006-07,0.656,
2006-10,0.803,
2007-01,0.806,
2007-04,0.792,
2007-07,0.787,
2007-10,1.344,
2008-01,1.393,
2008-04,1.308,
2008-07,1.375,
2008-10,1.385,
2009-01,1.337,
2009-04,1.209,
2009-07,1.562,
2009-10,1.435,
2010-01,1.423,
2010-04,1.196,
2010-07,1.168,
2010-10,14.447,
2011-01,9.382,
2011-04,8.160,
2011-07,8.022,
2011-10,8.016,
2012-01,7.742,
2012-04,7.659,
2012-07,7.300,
2012-10,7.546,
2013-01,7.122,
2013-04,6.553,
2013-07,1.306,
2013-10,1.278,
2014-01,1.293,
2014-04,1.412,
2014-07,1.516,
