"",BBSF2.M.1.T.00000.DGW01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.DGW01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:39,
2009-09,5,
2009-10,5,
2009-11,5,
2009-12,5,
2010-01,5,
2010-02,4,
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,-,Nothing exists
2010-09,2,
2010-10,5,
2010-11,7,
2010-12,3,
2011-01,10,
2011-02,10,
2011-03,15,
2011-04,15,
2011-05,15,
2011-06,15,
2011-07,15,
2011-08,10,
2011-09,9,
2011-10,10,
2011-11,10,
2011-12,39,
2012-01,68,
2012-02,103,
2012-03,108,
2012-04,113,
2012-05,78,
2012-06,59,
2012-07,86,
2012-08,99,
2012-09,79,
2012-10,44,
2012-11,44,
2012-12,31,
2013-01,26,
2013-02,29,
2013-03,28,
2013-04,30,
2013-05,18,
2013-06,63,
2013-07,55,
2013-08,104,
2013-09,28,
2013-10,37,
2013-11,30,
2013-12,28,
2014-01,14,
2014-02,13,
2014-03,10,
2014-04,10,
2014-05,10,
2014-06,10,
2014-07,8,
2014-08,12,
2014-09,12,
2014-10,12,
2014-11,12,
