"",BBFB1.M.N.DE.W1.S1.S1.T.D.CIF___AA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.CIF___AA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / Deductions / cif-costs of imports / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:58,
1991-01,543.689,
1991-02,543.689,
1991-03,644.823,
1991-04,569.646,
1991-05,569.646,
1991-06,636.756,
1991-07,559.237,
1991-08,559.237,
1991-09,636.932,
1991-10,515.160,
1991-11,515.160,
1991-12,601.436,
1992-01,522.212,
1992-02,522.212,
1992-03,615.605,
1992-04,482.541,
1992-05,482.559,
1992-06,571.258,
1992-07,462.194,
1992-08,462.194,
1992-09,548.821,
1992-10,506.614,
1992-11,506.614,
1992-12,586.089,
1993-01,446.588,
1993-02,446.588,
1993-03,552.312,
1993-04,448.925,
1993-05,448.925,
1993-06,560.348,
1993-07,472.538,
1993-08,472.538,
1993-09,582.747,
1993-10,482.560,
1993-11,482.560,
1993-12,599.372,
1994-01,496.918,
1994-02,496.918,
1994-03,617.179,
1994-04,497.731,
1994-05,497.731,
1994-06,622.819,
1994-07,512.961,
1994-08,512.961,
1994-09,639.776,
1994-10,537.584,
1994-11,537.584,
1994-12,675.734,
1995-01,566.444,
1995-02,571.953,
1995-03,577.232,
1995-04,568.510,
1995-05,572.569,
1995-06,574.086,
1995-07,574.578,
1995-08,570.462,
1995-09,575.810,
1995-10,599.648,
1995-11,600.436,
1995-12,599.910,
1996-01,584.000,
1996-02,576.622,
1996-03,618.704,
1996-04,589.977,
1996-05,594.376,
1996-06,595.976,
1996-07,618.507,
1996-08,577.062,
1996-09,601.690,
1996-10,646.650,
1996-11,614.539,
1996-12,593.946,
1997-01,662.807,
1997-02,619.670,
1997-03,615.193,
1997-04,702.083,
1997-05,659.331,
1997-06,672.914,
1997-07,718.673,
1997-08,634.838,
1997-09,738.598,
1997-10,759.639,
1997-11,709.383,
1997-12,674.687,
1998-01,723.040,
1998-02,670.825,
1998-03,765.975,
1998-04,761.046,
1998-05,671.043,
1998-06,734.784,
1998-07,770.743,
1998-08,675.079,
1998-09,720.712,
1998-10,776.994,
1998-11,676.679,
1998-12,735.334,
1999-01,637.396,
1999-02,670.274,
1999-03,736.637,
1999-04,724.596,
1999-05,716.857,
1999-06,748.838,
1999-07,781.401,
1999-08,743.358,
1999-09,774.413,
1999-10,791.831,
1999-11,836.359,
1999-12,821.701,
2000-01,840.423,
2000-02,837.012,
2000-03,967.451,
2000-04,829.828,
2000-05,1044.915,
2000-06,923.797,
2000-07,927.072,
2000-08,1007.693,
2000-09,1000.195,
2000-10,1077.138,
2000-11,1087.629,
2000-12,1010.970,
2001-01,1030.786,
2001-02,944.171,
2001-03,974.496,
2001-04,974.833,
2001-05,982.931,
2001-06,948.668,
2001-07,983.407,
2001-08,936.783,
2001-09,895.202,
2001-10,966.085,
2001-11,978.058,
2001-12,809.656,
2002-01,859.175,
2002-02,817.810,
2002-03,878.672,
2002-04,999.184,
2002-05,840.760,
2002-06,930.007,
2002-07,877.444,
2002-08,898.501,
2002-09,941.928,
2002-10,1015.664,
2002-11,975.222,
2002-12,843.410,
2003-01,997.413,
2003-02,881.763,
2003-03,932.496,
2003-04,941.023,
2003-05,884.189,
2003-06,911.432,
2003-07,907.395,
2003-08,862.819,
2003-09,927.505,
2003-10,1004.257,
2003-11,1020.160,
2003-12,919.638,
2004-01,994.041,
2004-02,937.738,
2004-03,1017.897,
2004-04,1022.427,
2004-05,1001.155,
2004-06,1025.627,
2004-07,1088.655,
2004-08,1031.038,
2004-09,1109.509,
2004-10,1167.677,
2004-11,1185.644,
2004-12,1079.686,
2005-01,1072.614,
2005-02,981.965,
2005-03,1009.620,
2005-04,1038.559,
2005-05,1066.249,
2005-06,1043.670,
2005-07,930.481,
2005-08,1067.676,
2005-09,1075.250,
2005-10,1092.073,
2005-11,1102.696,
2005-12,1066.408,
2006-01,1093.324,
2006-02,1136.935,
2006-03,1248.370,
2006-04,1095.211,
2006-05,1157.864,
2006-06,1069.852,
2006-07,1188.800,
2006-08,1211.978,
2006-09,1145.456,
2006-10,1256.823,
2006-11,1191.659,
2006-12,1165.615,
2007-01,1206.347,
2007-02,1212.642,
2007-03,1114.029,
2007-04,1225.419,
2007-05,1184.359,
2007-06,1174.113,
2007-07,1173.333,
2007-08,1307.399,
2007-09,1163.947,
2007-10,1321.744,
2007-11,1325.683,
2007-12,1348.456,
2008-01,1411.396,
2008-02,1341.814,
2008-03,1308.363,
2008-04,1337.834,
2008-05,1339.500,
2008-06,1252.344,
2008-07,1513.580,
2008-08,1409.084,
2008-09,1391.875,
2008-10,1295.530,
2008-11,1327.308,
2008-12,1254.440,
2009-01,841.088,
2009-02,789.247,
2009-03,717.388,
2009-04,678.733,
2009-05,661.132,
2009-06,678.144,
2009-07,760.001,
2009-08,769.834,
2009-09,879.283,
2009-10,818.285,
2009-11,818.979,
2009-12,914.212,
2010-01,1041.797,
2010-02,1013.735,
2010-03,1383.773,
2010-04,1196.594,
2010-05,1293.142,
2010-06,1382.585,
2010-07,1307.611,
2010-08,1327.000,
2010-09,1211.786,
2010-10,1234.354,
2010-11,1307.726,
2010-12,1209.965,
2011-01,1309.215,
2011-02,1377.719,
2011-03,1288.499,
2011-04,1381.500,
2011-05,1425.134,
2011-06,1368.214,
2011-07,1361.495,
2011-08,1368.558,
2011-09,1355.918,
2011-10,1313.464,
2011-11,1410.850,
2011-12,1179.792,
2012-01,1439.648,
2012-02,1392.903,
2012-03,1482.746,
2012-04,1408.268,
2012-05,1619.251,
2012-06,1520.875,
2012-07,1571.884,
2012-08,1610.871,
2012-09,1402.512,
2012-10,1560.727,
2012-11,1478.433,
2012-12,1352.700,
2013-01,1869.921,
2013-02,1663.706,
2013-03,1831.256,
2013-04,1678.958,
2013-05,1804.802,
2013-06,1762.750,
2013-07,1841.337,
2013-08,1230.893,
2013-09,1723.811,
2013-10,1913.618,
2013-11,1933.696,
2013-12,1720.907,
2014-01,1836.608,
2014-02,1855.744,
2014-03,1859.543,
2014-04,1723.167,
2014-05,1752.466,
2014-06,1838.420,
2014-07,1861.893,
2014-08,1759.851,
2014-09,1881.123,
2014-10,1936.276,
2014-11,1765.044,
2014-12,1765.044,Provisional value
