"",BBEX3.M.MOP.USD.CA.AC.A01,BBEX3.M.MOP.USD.CA.AC.A01_FLAGS
1983-08,7.78950,
1983-09,8.32845,
1983-10,8.02100,
1983-11,8.02075,
1983-12,8.01020,
1984-01,8.02100,
1984-02,8.00010,
1984-03,8.01995,
1984-04,8.01945,
1984-05,8.02895,
1984-06,8.02870,
1984-07,8.06990,
1984-08,8.05990,
1984-09,8.02950,
1984-10,8.04080,
1984-11,8.04985,
1984-12,8.04285,
1985-01,8.02995,
1985-02,8.03920,
1985-03,8.03300,
1985-04,8.01245,
1985-05,8.00625,
1985-06,7.99390,
1985-07,7.98550,
1985-08,8.04175,
1985-09,8.02200,
1985-10,8.03340,
1985-11,8.03650,
1985-12,8.04835,
1986-01,8.04165,
1986-02,8.03705,
1986-03,8.05400,
1986-04,8.03030,
1986-05,8.04525,
1986-06,8.04625,
1986-07,8.04315,
1986-08,8.03705,
1986-09,8.03805,
1986-10,8.03650,
1986-11,8.02000,
1986-12,8.03650,
1987-01,8.00355,
1987-02,8.02620,
1987-03,8.02880,
1987-04,8.03290,
1987-05,8.04175,
1987-06,8.04275,
1987-07,8.04535,
1987-08,8.04225,
1987-09,8.04225,
1987-10,8.04225,
1987-11,8.01700,
1987-12,8.00055,
1988-01,8.02010,
1988-02,8.03295,
1988-03,8.04325,
1988-04,8.05255,
1988-05,8.04790,
1988-06,8.03760,
1988-07,8.03965,
1988-08,8.03760,
1988-09,8.04225,
1988-10,8.04555,
1988-11,8.04020,
1988-12,8.04275,
1989-01,8.03450,
1989-02,8.03300,
1989-03,8.01960,
1989-04,8.01290,
1989-05,8.00855,
1989-06,8.02800,
1989-07,8.04020,
1989-08,8.04305,
1989-09,8.03605,
1989-10,8.04275,
1989-11,8.04840,
1989-12,8.04480,
1990-01,8.04690,
1990-02,8.04255,
1990-03,8.04225,
1990-04,8.02730,
1990-05,8.01390,
1990-06,8.02140,
1990-07,7.99570,
1990-08,7.99180,
1990-09,7.99540,
1990-10,8.02320,
1990-11,8.02940,
1990-12,8.03400,
1991-01,8.02710,
1991-02,8.02505,
1991-03,8.02905,
1991-04,8.02960,
1991-05,7.96345,
1991-06,7.99540,
1991-07,7.99590,
1991-08,7.99380,
1991-09,7.97735,
1991-10,7.99900,
1991-11,7.99435,
1991-12,8.01390,
1992-01,7.99540,
1992-02,7.98970,
1992-03,7.97170,
1992-04,7.99020,
1992-05,7.97580,
1992-06,7.96325,
1992-07,7.96810,
1992-08,7.95985,
1992-09,7.96075,
1992-10,7.96140,
1992-11,7.97015,
1992-12,7.97170,
1993-01,7.96450,
1993-02,7.96600,
1993-03,7.96325,
1993-04,7.96085,
1993-05,7.95470,
1993-06,7.97890,
1993-07,7.98815,
1993-08,7.98150,
1993-09,7.96910,
1993-10,7.95955,
1993-11,7.95780,
1993-12,7.95625,
1994-01,7.95600,
1994-02,7.95985,
1994-03,7.95830,
1994-04,7.95705,
1994-05,7.95770,
1994-06,7.96065,
1994-07,7.95725,
1994-08,7.95965,
1994-09,7.95930,
1994-10,7.95930,
1994-11,7.96550,
1994-12,7.97015,
1995-01,7.96500,
1995-02,7.96345,
1995-03,7.96450,
1995-04,7.97425,
1995-05,7.96810,
1995-06,7.96960,
1995-07,7.97015,
1995-08,7.97500,
1995-09,7.96395,
1995-10,7.96450,
1995-11,7.96755,
1995-12,7.96450,
1996-01,7.96520,
1996-02,7.96345,
1996-03,7.96655,
1996-04,7.96705,
1996-05,7.96960,
1996-06,7.97320,
1996-07,7.96610,
1996-08,7.96450,
1996-09,7.96550,
1996-10,7.96405,
1996-11,7.96395,
1996-12,7.96705,
1997-01,7.98045,
1997-02,7.97610,
1997-03,7.98240,
1997-04,7.97810,
1997-05,7.98095,
1997-06,7.98200,
1997-07,7.97630,
1997-08,7.98200,
1997-09,7.97140,
1997-10,7.96190,
1997-11,7.96220,
1997-12,7.98150,
1998-01,7.96655,
1998-02,7.97480,
1998-03,7.97940,
1998-04,7.97890,
1998-05,7.98095,
1998-06,7.98095,
1998-07,7.98045,
1998-08,7.97890,
1998-09,7.97940,
1998-10,7.97990,
1998-11,7.97510,
1998-12,7.97990,
1999-01,7.98125,
1999-02,7.97960,
1999-03,7.98300,
1999-04,7.98350,
1999-05,7.98815,
1999-06,7.99125,
1999-07,7.99485,
1999-08,7.99845,
1999-09,8.00155,
1999-10,8.00360,
1999-11,8.00465,
1999-12,8.00515,
2000-01,8.01785,
2000-02,8.02045,
2000-03,8.02410,
2000-04,8.02670,
2000-05,8.03030,
2000-06,8.03290,
2000-07,8.03600,
2000-08,8.03700,
2000-09,8.03540,
2000-10,8.03750,
2000-11,8.03750,
2000-12,8.03750,
2001-01,8.03750,
2001-02,8.03800,
2001-03,8.03750,
2001-04,8.03750,
2001-05,8.03800,
2001-06,8.03750,
2001-07,8.03800,
2001-08,8.03750,
2001-09,8.03750,
2001-10,8.03800,
2001-11,8.03700,
2001-12,8.03600,
2002-01,8.03730,
2002-02,8.03710,
2002-03,8.03750,
2002-04,8.03740,
2002-05,8.03780,
2002-06,8.03770,
2002-07,8.03790,
2002-08,8.03800,
2002-09,8.03780,
2002-10,8.03750,
2002-11,8.03670,
2002-12,8.03690,
2003-01,8.03760,
2003-02,8.03690,
2003-03,8.03720,
2003-04,8.03730,
2003-05,8.03660,
2003-06,8.03610,
2003-07,8.03720,
2003-08,8.03730,
2003-09,7.98230,
2003-10,8.00115,
2003-11,7.99795,
2003-12,7.99675,
2004-01,8.00975,
2004-02,8.01625,
2004-03,8.03050,
2004-04,8.03400,
2004-05,8.02765,
2004-06,8.03255,
2004-07,8.03315,
2004-08,8.03375,
2004-09,8.03305,
2004-10,8.01515,
2004-11,8.01065,
2004-12,8.01005,
2005-01,8.03345,
2005-02,8.03365,
2005-03,8.03305,
2005-04,8.02845,
2005-05,8.01285,
2005-06,8.00495,
2005-07,8.00805,
2005-08,8.00465,
2005-09,7.99115,
2005-10,7.98635,
2005-11,7.98675,
2005-12,7.98775,
2006-01,7.98895,
2006-02,7.99145,
2006-03,7.99270,
2006-04,7.98655,
2006-05,7.98930,
2006-06,8.00015,
2006-07,8.00455,
2006-08,8.00975,
2006-09,8.02225,
2006-10,8.00755,
2006-11,8.00895,
2006-12,8.00595,
2007-01,8.04345,
2007-02,8.04865,
2007-03,8.04800,
2007-04,8.05575,
2007-05,8.04175,
2007-06,8.05070,
2007-07,8.05875,
2007-08,8.03020,
2007-09,7.99135,
2007-10,7.98285,
2007-11,8.02265,
2007-12,8.03585,
2008-01,8.03515,
2008-02,8.01215,
2008-03,8.01515,
2008-04,8.02595,
2008-05,8.03795,
2008-06,8.03615,
2008-07,8.03685,
2008-08,8.04205,
2008-09,7.99565,
2008-10,7.98460,
2008-11,7.98565,
2008-12,7.98250,
2009-01,7.98865,
2009-02,7.98705,
2009-03,7.98265,
2009-04,7.98295,
2009-05,7.98535,
2009-06,7.98235,
2009-07,7.98285,
2009-08,7.98375,
2009-09,7.98285,
2009-10,7.98275,
2009-11,7.98315,
2009-12,7.98775,
2010-01,8.00630,
2010-02,7.99695,
2010-03,7.99715,
2010-04,7.99855,
2010-05,8.02325,
2010-06,8.01815,
2010-07,7.99925,
2010-08,8.01475,
2010-09,7.99315,
2010-10,7.98965,
2010-11,7.99785,
2010-12,8.01625,
2011-01,8.02585,
2011-02,8.02785,
2011-03,8.01795,
2011-04,8.00375,
2011-05,8.01145,
2011-06,8.01535,
2011-07,8.02645,
2011-08,8.02965,
2011-09,8.02805,
2011-10,7.99725,
2011-11,8.02295,
2011-12,8.00535,
2012-01,7.98995,
2012-02,7.98775,
2012-03,7.99775,
2012-04,7.99195,
2012-05,7.99845,
2012-06,7.99145,
2012-07,7.98775,
2012-08,7.98885,
2012-09,7.98615,
2012-10,7.98265,
2012-11,7.98250,
2012-12,7.98405,
2013-01,7.99085,
2013-02,7.98950,
2013-03,7.99595,
2013-04,7.99405,
2013-05,7.99645,
2013-06,7.98975,
2013-07,7.98805,
2013-08,7.98825,
2013-09,7.98675,
2013-10,7.98580,
2013-11,7.98505,
2013-12,7.98735,
2014-01,7.99765,
2014-02,7.99355,
2014-03,7.99055,
2014-04,7.98590,
2014-05,7.98545,
2014-06,7.98415,
2014-07,7.98275,
2014-08,7.98275,
2014-09,7.99595,
2014-10,7.98785,
2014-11,7.98545,
2014-12,7.99005,
2015-01,7.99100,
2015-02,7.99480,
"","Source: Calculated on the basis of buying and selling rates: Since January 1977: Banco Nacional Ultramarino S.A., Macao 1975 - December 1976: Banco Nacional Ultramarino S.A., Lissabon.",
