"",BBK01.OEBB19O,BBK01.OEBB19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:55,
2002-01,0.094,
2002-04,0.075,
2002-07,0.045,
2002-10,0.024,
2003-01,0.020,
2003-04,0.012,
2003-07,0.006,
2003-10,-0.002,
2004-01,-0.015,
2004-04,-0.559,
2004-07,-0.706,
2004-10,-1.495,
2005-01,0.318,
2005-04,0.323,
2005-07,0.316,
2005-10,0.332,
2006-01,0.326,
2006-04,0.321,
2006-07,0.339,
2006-10,0.334,
2007-01,0.335,
2007-04,0.330,
2007-07,0.321,
2007-10,0.306,
2008-01,0.300,
2008-04,0.301,
2008-07,0.296,
2008-10,0.286,
2009-01,0.323,
2009-04,0.341,
2009-07,0.351,
2009-10,0.352,
2010-01,0.374,
2010-04,0.405,
2010-07,0.424,
2010-10,0.440,
2011-01,0.453,
2011-04,0.459,
2011-07,0.474,
2011-10,0.451,
2012-01,0.689,
2012-04,0.837,
2012-07,0.793,
2012-10,0.753,
2013-01,0.719,
2013-04,0.673,
2013-07,0.632,
2013-10,0.409,
2014-01,0.402,
2014-04,0.391,
2014-07,0.404,
