"",BBK01.OEAC22L,BBK01.OEAC22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:02,
2002-01,2.314,
2002-04,1.502,
2002-07,1.221,
2002-10,1.128,
2003-01,0.793,
2003-04,0.967,
2003-07,0.701,
2003-10,0.780,
2004-01,0.763,
2004-04,0.714,
2004-07,0.954,
2004-10,0.943,
2005-01,0.914,
2005-04,0.969,
2005-07,0.832,
2005-10,0.897,
2006-01,1.164,
2006-04,0.706,
2006-07,0.446,
2006-10,0.444,
2007-01,0.378,
2007-04,0.482,
2007-07,0.563,
2007-10,0.943,
2008-01,0.514,
2008-04,0.816,
2008-07,0.602,
2008-10,0.809,
2009-01,0.677,
2009-04,0.800,
2009-07,0.584,
2009-10,0.573,
2010-01,0.555,
2010-04,0.629,
2010-07,0.642,
2010-10,0.484,
2011-01,0.605,
2011-04,0.711,
2011-07,0.699,
2011-10,0.732,
2012-01,0.829,
2012-04,0.659,
2012-07,0.666,
2012-10,0.573,
2013-01,0.570,
2013-04,0.399,
2013-07,0.430,
2013-10,0.431,
2014-01,0.490,
2014-04,0.665,
2014-07,0.472,
