"",BBK01.OEAC49G,BBK01.OEAC49G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:49,
2002-01,7.006,
2002-04,6.977,
2002-07,6.916,
2002-10,6.818,
2003-01,6.718,
2003-04,6.676,
2003-07,6.619,
2003-10,6.543,
2004-01,6.424,
2004-04,6.421,
2004-07,6.315,
2004-10,6.239,
2005-01,6.133,
2005-04,5.991,
2005-07,5.873,
2005-10,5.833,
2006-01,5.658,
2006-04,5.647,
2006-07,5.639,
2006-10,5.577,
2007-01,5.564,
2007-04,5.604,
2007-07,5.612,
2007-10,5.654,
2008-01,5.661,
2008-04,5.731,
2008-07,5.824,
2008-10,5.910,
2009-01,6.592,
2009-04,6.597,
2009-07,6.682,
2009-10,6.688,
2010-01,7.597,
2010-04,7.681,
2010-07,7.715,
2010-10,7.687,
2011-01,7.721,
2011-04,7.503,
2011-07,7.472,
2011-10,7.330,
2012-01,7.340,
2012-04,7.069,
2012-07,7.065,
2012-10,7.062,
2013-01,7.051,
2013-04,7.096,
2013-07,7.097,
2013-10,7.187,
2014-01,7.267,
2014-04,7.311,
2014-07,7.353,
