"",BBK01.OECB21N,BBK01.OECB21N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:54,
2002-01,1.660,
2002-04,1.739,
2002-07,1.383,
2002-10,1.413,
2003-01,1.552,
2003-04,1.536,
2003-07,1.746,
2003-10,1.853,
2004-01,1.866,
2004-04,1.633,
2004-07,1.672,
2004-10,1.685,
2005-01,5.013,
2005-04,5.383,
2005-07,5.196,
2005-10,5.146,
2006-01,5.232,
2006-04,5.117,
2006-07,4.930,
2006-10,5.046,
2007-01,5.143,
2007-04,5.230,
2007-07,4.813,
2007-10,5.697,
2008-01,6.443,
2008-04,6.417,
2008-07,5.927,
2008-10,5.187,
2009-01,4.400,
2009-04,5.364,
2009-07,5.311,
2009-10,4.317,
2010-01,3.737,
2010-04,3.887,
2010-07,3.980,
2010-10,4.835,
2011-01,4.623,
2011-04,4.651,
2011-07,4.537,
2011-10,4.895,
2012-01,4.655,
2012-04,4.683,
2012-07,4.695,
2012-10,4.517,
2013-01,4.795,
2013-04,5.104,
2013-07,5.147,
2013-10,5.124,
2014-01,6.261,
2014-04,6.536,
2014-07,6.376,
