"",BBK01.OEXL05H,BBK01.OEXL05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:12,
2002-01,0.351,
2002-04,0.359,
2002-07,0.369,
2002-10,0.407,
2003-01,0.403,
2003-04,0.399,
2003-07,0.350,
2003-10,0.308,
2004-01,0.282,
2004-04,0.218,
2004-07,0.218,
2004-10,0.179,
2005-01,0.178,
2005-04,0.172,
2005-07,0.156,
2005-10,0.175,
2006-01,0.179,
2006-04,0.184,
2006-07,0.192,
2006-10,0.237,
2007-01,0.224,
2007-04,0.212,
2007-07,0.244,
2007-10,0.278,
2008-01,0.311,
2008-04,0.324,
2008-07,0.430,
2008-10,0.483,
2009-01,0.593,
2009-04,0.628,
2009-07,0.635,
2009-10,0.700,
2010-01,0.768,
2010-04,0.836,
2010-07,0.861,
2010-10,0.865,
2011-01,0.888,
2011-04,0.917,
2011-07,0.853,
2011-10,0.861,
2012-01,0.868,
2012-04,0.857,
2012-07,0.872,
2012-10,0.843,
2013-01,0.818,
2013-04,0.886,
2013-07,0.954,
2013-10,0.978,
2014-01,1.041,
2014-04,1.075,
2014-07,1.126,
