"",BBK01.OEAA19U,BBK01.OEAA19U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:47,
2002-01,1.378,
2002-04,1.386,
2002-07,1.369,
2002-10,1.332,
2003-01,1.297,
2003-04,1.272,
2003-07,1.218,
2003-10,1.153,
2004-01,1.194,
2004-04,1.124,
2004-07,1.087,
2004-10,0.994,
2005-01,1.030,
2005-04,1.013,
2005-07,1.000,
2005-10,0.933,
2006-01,0.967,
2006-04,0.934,
2006-07,0.924,
2006-10,0.935,
2007-01,0.951,
2007-04,1.063,
2007-07,1.009,
2007-10,0.958,
2008-01,1.099,
2008-04,1.113,
2008-07,1.035,
2008-10,1.009,
2009-01,1.011,
2009-04,1.027,
2009-07,1.014,
2009-10,0.873,
2010-01,0.888,
2010-04,0.912,
2010-07,0.842,
2010-10,0.731,
2011-01,0.824,
2011-04,0.855,
2011-07,0.854,
2011-10,0.803,
2012-01,0.880,
2012-04,0.873,
2012-07,0.868,
2012-10,0.785,
2013-01,0.861,
2013-04,0.874,
2013-07,0.854,
2013-10,0.768,
2014-01,0.845,
2014-04,0.884,
2014-07,0.829,
