"",BBK01.QUA508,BBK01.QUA508_FLAGS
"","Foreign branches: Liabilities to non-residents, total / Slovakia / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:06,
2005-12,0.005,
2006-01,0.005,
2006-02,0.005,
2006-03,0.007,
2006-04,0.008,
2006-05,0.015,
2006-06,0.020,
2006-07,0.133,
2006-08,0.126,
2006-09,0.132,
2006-10,0.155,
2006-11,0.129,
2006-12,0.116,
2007-01,0.114,
2007-02,0.114,
2007-03,0.010,
2007-04,0.071,
2007-05,0.022,
2007-06,0.095,
2007-07,0.153,
2007-08,0.120,
2007-09,0.157,
2007-10,0.055,
2007-11,0.041,
2007-12,0.058,
2008-01,0.051,
2008-02,0.046,
2008-03,0.025,
2008-04,0.033,
2008-05,0.034,
2008-06,0.057,
2008-07,0.106,
2008-08,0.061,
2008-09,0.020,
2008-10,0.074,
2008-11,0.044,
2008-12,0.051,
2009-01,0.154,
2009-02,0.160,
2009-03,0.105,
2009-04,0.118,
2009-05,0.231,
2009-06,0.188,
2009-07,0.124,
2009-08,0.103,
2009-09,0.202,
2009-10,0.256,
2009-11,0.181,
2009-12,0.100,
2010-01,0.102,
2010-02,0.135,
2010-03,0.043,
2010-04,0.046,
2010-05,0.035,
2010-06,0.038,
2010-07,0.038,
2010-08,0.042,
2010-09,0.046,
2010-10,0.055,
2010-11,0.049,
2010-12,0.062,
2011-01,0.069,
2011-02,0.075,
2011-03,0.054,
2011-04,0.065,
2011-05,0.059,
2011-06,0.511,
2011-07,0.061,
2011-08,0.062,
2011-09,0.063,
2011-10,0.064,
2011-11,0.062,
2011-12,0.069,
2012-01,0.067,
2012-02,0.078,
2012-03,0.095,
2012-04,0.110,
2012-05,0.081,
2012-06,0.074,
2012-07,0.111,
2012-08,0.156,
2012-09,0.118,
2012-10,0.140,
2012-11,0.135,
2012-12,0.253,
2013-01,0.259,
2013-02,0.177,
2013-03,0.230,
2013-04,0.212,
2013-05,0.217,
2013-06,0.201,
2013-07,0.177,
2013-08,0.111,
2013-09,0.076,
2013-10,0.170,
2013-11,0.191,
2013-12,0.152,
2014-01,0.098,
2014-02,0.147,
2014-03,0.141,
2014-04,0.214,
2014-05,0.220,
2014-06,0.224,
2014-07,0.236,
2014-08,0.224,
2014-09,0.181,
2014-10,0.224,
2014-11,0.225,
