"",BBEX3.M.QAR.EUR.CA.AC.A01,BBEX3.M.QAR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Qatar / EUR 1 = QAR ... (middle),
unit,QAR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:21,
1999-01,4.14950,
1999-02,4.02100,
1999-03,3.91300,
1999-04,3.88050,
1999-05,3.82050,
1999-06,3.76950,
1999-07,3.90900,
1999-08,3.83050,
1999-09,3.88850,
1999-10,3.84400,
1999-11,3.69000,
1999-12,3.67700,
2000-01,3.58550,
2000-02,3.54550,
2000-03,3.48300,
2000-04,3.33200,
2000-05,3.40300,
2000-06,3.44550,
2000-07,3.37450,
2000-08,3.26800,
2000-09,3.22900,
2000-10,3.07300,
2000-11,3.13850,
2000-12,3.44050,
2001-01,3.38450,
2001-02,3.34850,
2001-03,3.19800,
2001-04,3.25600,
2001-05,3.11950,
2001-06,3.10650,
2001-07,3.19900,
2001-08,3.31600,
2001-09,3.32700,
2001-10,3.31600,
2001-11,3.24150,
2001-12,3.24050,
2002-01,3.14800,
2002-02,3.15850,
2002-03,3.18600,
2002-04,3.30100,
2002-05,3.41950,
2002-06,3.61950,
2002-07,3.59350,
2002-08,3.58900,
2002-09,3.59000,
2002-10,3.60700,
2002-11,3.62750,
2002-12,3.82600,
2003-01,3.95050,
2003-02,3.93500,
2003-03,3.97400,
2003-04,4.05700,
2003-05,4.28950,
2003-06,4.17350,
2003-07,4.13800,
2003-08,4.00950,
2003-09,4.24300,
2003-10,4.26050,
2003-11,4.37300,
2003-12,4.58900,
2004-01,4.54650,
2004-02,4.55600,
2004-03,4.45750,
2004-04,4.31550,
2004-05,4.45000,
2004-06,4.41100,
2004-07,4.37950,
2004-08,4.41000,
2004-09,4.49750,
2004-10,4.66250,
2004-11,4.84100,
2004-12,4.97200,
2005-01,4.75100,
2005-02,4.84250,
2005-03,4.75100,
2005-04,4.69650,
2005-05,4.52350,
2005-06,4.41100,
2005-07,4.44450,
2005-08,4.45650,
2005-09,4.39950,
2005-10,4.39900,
2005-11,4.29800,
2005-12,4.32150,
2006-01,4.41150,
2006-02,4.32350,
2006-03,4.40500,
2006-04,4.61000,
2006-05,4.69700,
2006-06,4.57650,
2006-07,4.65850,
2006-08,4.68000,
2006-09,4.62700,
2006-10,4.64000,
2006-11,4.80350,
2006-12,4.78600,
2007-01,4.72700,
2007-02,4.82100,
2007-03,4.86100,
2007-04,4.97600,
2007-05,4.90100,
2007-06,4.91100,
2007-07,5.00200,
2007-08,4.98150,
2007-09,5.16000,
2007-10,5.26650,
2007-11,5.40900,
2007-12,5.37750,
2008-01,5.41400,
2008-02,5.51050,
2008-03,5.75950,
2008-04,5.70600,
2008-05,5.70050,
2008-06,5.75650,
2008-07,5.68450,
2008-08,5.39600,
2008-09,5.22600,
2008-10,4.82200,
2008-11,4.72000,
2008-12,5.13550,
2009-01,4.77800,
2009-02,4.64800,
2009-03,4.83250,
2009-04,4.87800,
2009-05,5.03650,
2009-06,5.14800,
2009-07,5.12600,
2009-08,5.21100,
2009-09,5.33150,
2009-10,5.40900,
2009-11,5.48700,
2009-12,5.26650,
2010-01,5.08900,
2010-02,4.96400,
2010-03,4.91700,
2010-04,4.83900,
2010-05,4.49050,
2010-06,4.43400,
2010-07,4.75000,
2010-08,4.59400,
2010-09,4.94900,
2010-10,5.02450,
2010-11,4.75000,
2010-12,4.83700,
2011-01,4.93850,
2011-02,4.99300,
2011-03,5.13250,
2011-04,5.39600,
2011-05,5.22100,
2011-06,5.27265,
2011-07,5.19700,
2011-08,5.27150,
2011-09,4.95550,
2011-10,5.09950,
2011-11,4.85200,
2011-12,4.70650,
2012-01,4.80100,
2012-02,4.90700,
2012-03,4.84900,
2012-04,4.82300,
2012-05,4.50550,
2012-06,4.58400,
2012-07,4.47150,
2012-08,4.56500,
2012-09,4.68100,
2012-10,4.71800,
2012-11,4.74050,
2012-12,4.81000,
2013-01,4.94000,
2013-02,4.78450,
2013-03,4.66750,
2013-04,4.76650,
2013-05,4.74500,
2013-06,4.73700,
2013-07,4.82750,
2013-08,4.82750,
2013-09,4.91500,
2013-10,4.98950,
2013-11,4.94350,
2013-12,5.02150,
2014-01,4.92950,
2014-02,4.98600,
2014-03,5.00500,
2014-04,5.02650,
2014-05,4.95300,
2014-06,4.96750,
2014-07,4.88950,
2014-08,4.81100,
2014-09,4.62100,
2014-10,4.59500,
2014-11,4.55350,
2014-12,4.42900,
2015-01,4.10400,
2015-02,4.14100,
"","Source: Calculated on the basis of buying and selling rates of the Qatar National Bank, Doha.",
