"",BBK01.OEHM01Q,BBK01.OEHM01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:27,
2002-01,0.694,
2002-04,0.662,
2002-07,0.602,
2002-10,0.730,
2003-01,0.604,
2003-04,0.539,
2003-07,0.546,
2003-10,0.645,
2004-01,0.607,
2004-04,0.627,
2004-07,0.624,
2004-10,0.673,
2005-01,0.627,
2005-04,0.641,
2005-07,0.645,
2005-10,0.749,
2006-01,0.614,
2006-04,0.684,
2006-07,0.714,
2006-10,0.784,
2007-01,0.682,
2007-04,0.723,
2007-07,0.738,
2007-10,0.813,
2008-01,0.708,
2008-04,0.764,
2008-07,0.756,
2008-10,0.954,
2009-01,0.982,
2009-04,0.969,
2009-07,0.993,
2009-10,1.235,
2010-01,0.931,
2010-04,0.968,
2010-07,1.000,
2010-10,0.999,
2011-01,0.814,
2011-04,0.758,
2011-07,0.883,
2011-10,1.065,
2012-01,0.964,
2012-04,0.978,
2012-07,1.077,
2012-10,1.124,
2013-01,1.044,
2013-04,1.036,
2013-07,1.070,
2013-10,1.222,
2014-01,1.093,
2014-04,1.134,
2014-07,1.080,
