"",BBK01.OEAC48S,BBK01.OEAC48S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:46,
2002-01,0.373,
2002-04,0.359,
2002-07,0.352,
2002-10,0.357,
2003-01,0.347,
2003-04,0.373,
2003-07,0.352,
2003-10,0.356,
2004-01,0.349,
2004-04,0.373,
2004-07,0.376,
2004-10,0.400,
2005-01,0.405,
2005-04,0.424,
2005-07,0.416,
2005-10,0.434,
2006-01,0.467,
2006-04,0.474,
2006-07,0.490,
2006-10,0.513,
2007-01,0.510,
2007-04,0.497,
2007-07,0.503,
2007-10,0.556,
2008-01,0.557,
2008-04,0.582,
2008-07,0.617,
2008-10,0.721,
2009-01,0.884,
2009-04,0.927,
2009-07,0.962,
2009-10,0.956,
2010-01,1.144,
2010-04,1.184,
2010-07,1.199,
2010-10,1.349,
2011-01,1.400,
2011-04,1.473,
2011-07,1.548,
2011-10,1.776,
2012-01,1.867,
2012-04,2.002,
2012-07,2.079,
2012-10,2.100,
2013-01,2.195,
2013-04,2.231,
2013-07,2.281,
2013-10,2.330,
2014-01,2.337,
2014-04,2.267,
2014-07,2.356,
