"",BBK01.OEAM01H,BBK01.OEAM01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:10,
2002-01,12.053,
2002-04,11.374,
2002-07,11.376,
2002-10,10.503,
2003-01,9.435,
2003-04,9.780,
2003-07,9.339,
2003-10,9.450,
2004-01,9.197,
2004-04,8.664,
2004-07,8.777,
2004-10,9.739,
2005-01,9.317,
2005-04,10.029,
2005-07,10.282,
2005-10,10.928,
2006-01,10.024,
2006-04,11.953,
2006-07,14.007,
2006-10,15.118,
2007-01,14.308,
2007-04,15.444,
2007-07,20.700,
2007-10,25.345,
2008-01,23.144,
2008-04,25.357,
2008-07,24.978,
2008-10,24.563,
2009-01,20.441,
2009-04,20.221,
2009-07,17.393,
2009-10,15.979,
2010-01,17.184,
2010-04,15.698,
2010-07,19.123,
2010-10,37.096,
2011-01,33.737,
2011-04,35.373,
2011-07,36.805,
2011-10,31.706,
2012-01,31.844,
2012-04,38.452,
2012-07,34.804,
2012-10,32.903,
2013-01,36.775,
2013-04,35.158,
2013-07,29.496,
2013-10,27.285,
2014-01,27.951,
2014-04,28.282,
2014-07,27.330,
