"",BBEX3.A.THB.USD.CA.AB.A04,BBEX3.A.THB.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in Thailand / USD 1 = THB ... (selling),
unit,THB (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:16:46,
1990,25.6300,
1991,25.5704,
1992,25.4554,
1993,25.3663,
1994,25.1867,
1995,24.9692,
1996,25.4000,
1997,31.6906,comment
1998,41.3673,comment
1999,38.0282,
2000,40.4158,
2001,44.5802,
2002,43.0972,
2003,41.6003,
2004,40.4022,
2005,40.3983,
2006,37.9086,
2007,34.6410,
2008,33.5287,
2009,34.4685,
2010,31.8383,
2011,30.6939,
2012,31.2076,
2013,30.8924,
2014,32.6198,
"","Source: Bank of Thailand, Bangkok.",
"",Methodology: Calculated on the basis of mid-month and month-end rates.,
"","Comment on 1997: On 2 July 1997, the currency ceased to be pegged to a currency basket and a controlled floating exchange rate was adopted.",
"",Comment on 1998: In 1997/1998 financial crises in some south-east Asian countries.,
