"",BBDP1.M.DE.S.VPI.C.C1C011.I10.A,BBDP1.M.DE.S.VPI.C.C1C011.I10.A_FLAGS
"",Consumer price index / Germany / Seasonally adjusted only / 01.1 Food,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 16:44:57,
1991-01,78.1,
1991-02,78.1,
1991-03,78.7,
1991-04,78.8,
1991-05,78.8,
1991-06,79.3,
1991-07,79.8,
1991-08,79.9,
1991-09,79.7,
1991-10,79.9,
1991-11,80.9,
1991-12,80.9,
1992-01,81.0,
1992-02,81.1,
1992-03,80.9,
1992-04,81.0,
1992-05,81.1,
1992-06,81.1,
1992-07,80.9,
1992-08,80.9,
1992-09,81.1,
1992-10,81.1,
1992-11,81.0,
1992-12,81.0,
1993-01,81.0,
1993-02,81.1,
1993-03,81.1,
1993-04,81.1,
1993-05,81.1,
1993-06,81.2,
1993-07,81.1,
1993-08,81.5,
1993-09,81.8,
1993-10,81.9,
1993-11,81.9,
1993-12,82.1,
1994-01,81.4,
1994-02,81.6,
1994-03,81.8,
1994-04,82.1,
1994-05,82.4,
1994-06,82.7,
1994-07,82.8,
1994-08,83.0,
1994-09,82.9,
1994-10,83.4,
1994-11,82.9,
1994-12,82.8,
1995-01,82.9,
1995-02,83.2,
1995-03,83.1,
1995-04,82.9,
1995-05,83.1,
1995-06,82.9,
1995-07,82.8,
1995-08,82.7,
1995-09,83.0,
1995-10,82.8,
1995-11,82.8,
1995-12,82.8,
1996-01,83.1,
1996-02,83.3,
1996-03,84.2,
1996-04,84.2,
1996-05,83.6,
1996-06,83.6,
1996-07,84.1,
1996-08,84.0,
1996-09,83.7,
1996-10,83.5,
1996-11,83.4,
1996-12,83.5,
1997-01,84.5,
1997-02,84.2,
1997-03,84.0,
1997-04,84.0,
1997-05,84.4,
1997-06,84.8,
1997-07,84.8,
1997-08,84.9,
1997-09,85.1,
1997-10,85.3,
1997-11,85.5,
1997-12,85.8,
1998-01,85.8,
1998-02,85.3,
1998-03,85.0,
1998-04,85.1,
1998-05,85.5,
1998-06,85.8,
1998-07,85.5,
1998-08,85.6,
1998-09,85.5,
1998-10,85.3,
1998-11,85.6,
1998-12,85.7,
1999-01,85.4,
1999-02,85.0,
1999-03,85.0,
1999-04,85.0,
1999-05,84.8,
1999-06,84.5,
1999-07,84.2,
1999-08,84.2,
1999-09,84.1,
1999-10,84.0,
1999-11,84.2,
1999-12,84.2,
2000-01,83.8,
2000-02,84.1,
2000-03,83.5,
2000-04,83.6,
2000-05,83.8,
2000-06,83.9,
2000-07,84.1,
2000-08,84.1,
2000-09,84.1,
2000-10,84.2,
2000-11,84.6,
2000-12,85.0,
2001-01,85.5,
2001-02,85.6,
2001-03,86.5,
2001-04,87.8,
2001-05,89.3,
2001-06,89.6,
2001-07,89.7,
2001-08,89.1,
2001-09,89.3,
2001-10,89.6,
2001-11,88.9,
2001-12,89.2,
2002-01,91.1,
2002-02,90.1,
2002-03,90.2,
2002-04,89.8,
2002-05,89.4,
2002-06,88.7,
2002-07,88.8,
2002-08,88.6,
2002-09,88.7,
2002-10,88.6,
2002-11,88.1,
2002-12,88.1,
2003-01,88.1,
2003-02,88.4,
2003-03,88.9,
2003-04,88.9,
2003-05,88.8,
2003-06,89.1,
2003-07,89.1,
2003-08,88.9,
2003-09,89.5,
2003-10,89.9,
2003-11,89.7,
2003-12,89.5,
2004-01,89.6,
2004-02,88.9,
2004-03,88.8,
2004-04,88.6,
2004-05,88.7,
2004-06,88.9,
2004-07,88.9,
2004-08,88.8,
2004-09,88.3,
2004-10,88.6,
2004-11,88.5,
2004-12,89.0,
2005-01,88.3,
2005-02,89.0,
2005-03,89.5,
2005-04,88.9,
2005-05,89.0,
2005-06,88.9,
2005-07,88.3,
2005-08,88.3,
2005-09,88.4,
2005-10,88.1,
2005-11,88.4,
2005-12,88.8,
2006-01,88.9,
2006-02,89.4,
2006-03,89.0,
2006-04,89.5,
2006-05,90.1,
2006-06,90.1,
2006-07,90.3,
2006-08,91.1,
2006-09,91.7,
2006-10,91.2,
2006-11,91.6,
2006-12,91.4,
2007-01,91.8,
2007-02,91.4,
2007-03,91.3,
2007-04,92.8,
2007-05,92.1,
2007-06,92.6,
2007-07,93.1,
2007-08,94.0,
2007-09,94.7,
2007-10,97.0,
2007-11,98.3,
2007-12,98.2,
2008-01,98.8,
2008-02,98.6,
2008-03,99.1,
2008-04,99.5,
2008-05,99.5,
2008-06,99.7,
2008-07,100.6,
2008-08,100.9,
2008-09,100.8,
2008-10,101.2,
2008-11,100.3,
2008-12,100.2,
2009-01,99.9,
2009-02,99.7,
2009-03,99.3,
2009-04,98.9,
2009-05,98.4,
2009-06,98.8,
2009-07,98.2,
2009-08,97.9,
2009-09,97.8,
2009-10,97.7,
2009-11,98.0,
2009-12,98.2,
2010-01,98.6,
2010-02,98.8,
2010-03,99.6,
2010-04,100.4,
2010-05,99.8,
2010-06,99.8,
2010-07,100.1,
2010-08,100.1,
2010-09,100.5,
2010-10,100.3,
2010-11,100.9,
2010-12,101.1,
2011-01,100.8,
2011-02,101.4,
2011-03,101.2,
2011-04,101.6,
2011-05,102.2,
2011-06,101.9,
2011-07,102.2,
2011-08,102.6,
2011-09,103.1,
2011-10,103.3,
2011-11,103.4,
2011-12,103.0,
2012-01,103.7,
2012-02,104.8,
2012-03,105.1,
2012-04,105.1,
2012-05,104.9,
2012-06,105.4,
2012-07,105.4,
2012-08,106.0,
2012-09,106.1,
2012-10,106.8,
2012-11,107.9,
2012-12,107.8,
2013-01,108.4,
2013-02,108.1,
2013-03,109.0,
2013-04,109.4,
2013-05,110.6,
2013-06,111.0,
2013-07,111.3,
2013-08,111.2,
2013-09,111.0,
2013-10,111.1,
2013-11,111.3,
2013-12,112.0,
2014-01,112.2,
2014-02,111.9,
2014-03,111.5,
2014-04,111.4,
2014-05,111.1,
2014-06,111.0,
2014-07,111.4,
2014-08,111.5,
2014-09,112.0,
2014-10,111.9,
2014-11,111.3,
2014-12,110.8,
2015-01,110.6,
2015-02,111.5,Estimated value
