"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.N000.EUR.BGA.X001.D_FLAGS
1985-03,3.691,
1985-04,3.725,
1985-05,3.594,
1985-06,3.709,
1985-07,3.675,
1985-08,3.522,
1985-09,3.645,
1985-10,3.918,
1985-11,4.205,
1985-12,4.177,
1986-01,4.149,
1986-02,4.089,
1986-03,3.992,
1986-04,4.035,
1986-05,3.979,
1986-06,3.983,
1986-07,3.931,
1986-08,3.966,
1986-09,3.943,
1986-10,3.948,
1986-11,4.033,
1986-12,4.016,
1987-01,3.986,
1987-02,4.071,
1987-03,4.035,
1987-04,4.060,
1987-05,4.099,
1987-06,4.138,
1987-07,4.184,
1987-08,4.021,
1987-09,3.985,
1987-10,4.059,
1987-11,4.068,
1987-12,4.167,
1988-01,4.194,
1988-02,4.207,
1988-03,4.260,
1988-04,4.300,
1988-05,4.268,
1988-06,4.203,
1988-07,4.206,
1988-08,4.298,
1988-09,4.228,
1988-10,4.215,
1988-11,4.151,
1988-12,4.147,
1989-01,4.200,
1989-02,4.253,
1989-03,5.182,
1989-04,5.178,
1989-05,5.353,
1989-06,5.282,
1989-07,5.219,
1989-08,5.258,
1989-09,5.310,
1989-10,5.316,
1989-11,5.295,
1989-12,5.068,
1990-01,5.292,
1990-02,5.891,
1990-03,5.952,
1990-04,6.068,
1990-05,6.063,
1990-06,6.002,
1990-07,5.635,
1990-08,5.225,
1990-09,5.255,
1990-10,5.258,
1990-11,5.296,
1990-12,5.360,
1991-01,5.468,
1991-02,5.572,
1991-03,5.519,
1991-04,5.502,
1991-05,5.347,
1991-06,5.478,
1991-07,5.694,
1991-08,5.889,
1991-09,5.832,
1991-10,5.870,
1991-11,5.833,
1991-12,5.768,
1992-01,5.875,
1992-02,5.476,
1992-03,5.469,
1992-04,5.509,
1992-05,5.578,
1992-06,5.532,
1992-07,5.581,
1992-08,5.689,
1992-09,5.680,
1992-10,5.747,
1992-11,5.847,
1992-12,6.269,
1993-01,6.147,
1993-02,6.222,
1993-03,6.158,
1993-04,6.363,
1993-05,6.350,
1993-06,6.449,
1993-07,6.444,
1993-08,6.567,
1993-09,6.463,
1993-10,6.334,
1993-11,6.320,
1993-12,6.127,
1994-01,6.074,
1994-02,6.066,
1994-03,6.139,
1994-04,6.235,
1994-05,6.202,
1994-06,6.155,
1994-07,5.828,
1994-08,6.365,
1994-09,5.755,
1994-10,6.131,
1994-11,6.101,
1994-12,5.926,
1995-01,5.715,
1995-02,5.563,
1995-03,5.223,
1995-04,5.222,
1995-05,5.259,
1995-06,5.545,
1995-07,5.477,
1995-08,5.747,
1995-09,5.714,
1995-10,6.075,
1995-11,6.044,
1995-12,5.638,
1996-01,5.667,
1996-02,5.879,
1996-03,5.785,
1996-04,5.781,
1996-05,5.879,
1996-06,5.509,
1996-07,5.395,
1996-08,5.472,
1996-09,5.431,
1996-10,5.190,
1996-11,5.223,
1996-12,5.106,
1997-01,5.099,
1997-02,5.109,
1997-03,5.537,
1997-04,5.503,
1997-05,5.560,
1997-06,5.446,
1997-07,5.710,
1997-08,5.566,
1997-09,5.612,
1997-10,5.721,
1997-11,5.658,
1997-12,5.676,
1998-01,5.954,
1998-02,6.050,
1998-03,6.300,
1998-04,6.364,
1998-05,6.470,
1998-06,6.502,
1998-07,6.629,
1998-08,7.087,
1998-09,7.118,
1998-10,7.387,
1998-11,7.410,
1998-12,7.452,
1999-01,8.834,
1999-02,9.186,
1999-03,9.499,
1999-04,9.711,
1999-05,10.452,
1999-06,10.730,
1999-07,11.168,
1999-08,11.493,
1999-09,11.657,
1999-10,12.039,
1999-11,12.111,
1999-12,12.107,
2000-01,12.849,
2000-02,12.721,
2000-03,12.061,
2000-04,11.962,
2000-05,11.863,
2000-06,12.393,
2000-07,12.469,
2000-08,13.793,
2000-09,13.717,
2000-10,13.757,
2000-11,13.964,
2000-12,14.856,
2001-01,15.067,
2001-02,15.067,
2001-03,15.436,
2001-04,15.507,
2001-05,16.093,
2001-06,16.389,
2001-07,16.364,
2001-08,16.781,
2001-09,17.484,
2001-10,17.941,
2001-11,17.585,
2001-12,17.322,
2002-01,17.880,
2002-02,17.917,
2002-03,18.055,
2002-04,18.789,
2002-05,18.507,
2002-06,18.671,
2002-07,20.665,
2002-08,20.792,
2002-09,20.765,
2002-10,20.761,
2002-11,21.318,
2002-12,22.136,
2003-01,22.533,
2003-02,22.638,
2003-03,22.821,
2003-04,22.747,
2003-05,22.908,
2003-06,22.400,
2003-07,22.474,
2003-08,21.877,
2003-09,21.858,
2003-10,22.160,
2003-11,22.162,
2003-12,21.621,
2004-01,22.107,
2004-02,21.938,
2004-03,22.061,
2004-04,22.083,
2004-05,22.281,
2004-06,22.838,
2004-07,23.891,
2004-08,23.957,
2004-09,24.676,
2004-10,24.786,
2004-11,25.104,
2004-12,24.413,
2005-01,27.485,
2005-02,27.487,
2005-03,27.395,
2005-04,27.173,
2005-05,24.521,
2005-06,24.585,
2005-07,24.751,
2005-08,24.719,
2005-09,25.106,
2005-10,25.172,
2005-11,24.844,
2005-12,26.628,
2006-01,26.488,
2006-02,27.268,
2006-03,27.406,
2006-04,27.632,
2006-05,28.694,
2006-06,28.549,
2006-07,28.939,
2006-08,29.362,
2006-09,30.064,
2006-10,31.944,
2006-11,32.353,
2006-12,32.626,
2007-01,33.272,
2007-02,32.263,
2007-03,33.450,
2007-04,34.648,
2007-05,37.664,
2007-06,38.247,
2007-07,38.655,
2007-08,42.509,
2007-09,43.350,
2007-10,43.864,
2007-11,43.138,
2007-12,40.796,
2008-01,44.181,
2008-02,45.587,
2008-03,47.941,
2008-04,48.896,
2008-05,49.609,
2008-06,49.640,
2008-07,48.728,
2008-08,48.860,
2008-09,52.299,
2008-10,52.845,
2008-11,52.054,
2008-12,49.643,
2009-01,50.908,
2009-02,51.810,
2009-03,54.447,
2009-04,55.591,
2009-05,54.214,
2009-06,54.703,
2009-07,54.927,
2009-08,57.386,
2009-09,59.873,
2009-10,62.978,
2009-11,63.743,
2009-12,68.052,
2010-01,69.869,
2010-02,70.346,
2010-03,70.977,
2010-04,70.887,
2010-05,72.356,
2010-06,72.687,
2010-07,68.751,
2010-08,69.022,
2010-09,69.829,
2010-10,69.715,
2010-11,70.266,
2010-12,71.125,
2011-01,71.989,
2011-02,72.334,
2011-03,73.512,
2011-04,73.503,
2011-05,74.420,
2011-06,72.597,
2011-07,72.207,
2011-08,72.683,
2011-09,71.894,
2011-10,71.179,
2011-11,72.065,
2011-12,74.236,
2012-01,75.584,
2012-02,76.952,
2012-03,78.456,
2012-04,78.641,
2012-05,78.418,
2012-06,80.087,
2012-07,81.806,
2012-08,82.676,
2012-09,82.091,
2012-10,80.715,
2012-11,84.160,
2012-12,83.157,
2013-01,86.554,
2013-02,87.447,
2013-03,88.562,
2013-04,94.958,
2013-05,96.650,
2013-06,97.592,
2013-07,98.519,
2013-08,100.097,
2013-09,103.517,
2013-10,99.948,
2013-11,102.473,
2013-12,102.396,
2014-01,98.923,
2014-02,99.909,
2014-03,102.401,
2014-04,102.215,
2014-05,102.779,
2014-06,102.423,
2014-07,103.959,
2014-08,104.844,
2014-09,105.241,
2014-10,105.322,
2014-11,105.835,
2014-12,107.791,
"","General: From January 1999, including national currencies of the euro-area member states.",
