"",BBK01.OEAH29I,BBK01.OEAH29I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:30,
2002-01,28.492,
2002-04,27.310,
2002-07,28.485,
2002-10,28.791,
2003-01,27.683,
2003-04,28.054,
2003-07,27.157,
2003-10,30.310,
2004-01,30.998,
2004-04,32.212,
2004-07,33.595,
2004-10,35.825,
2005-01,38.429,
2005-04,38.410,
2005-07,39.403,
2005-10,40.672,
2006-01,41.139,
2006-04,42.221,
2006-07,43.943,
2006-10,44.314,
2007-01,45.195,
2007-04,47.544,
2007-07,48.296,
2007-10,49.948,
2008-01,50.590,
2008-04,55.561,
2008-07,56.478,
2008-10,55.556,
2009-01,60.414,
2009-04,62.301,
2009-07,62.859,
2009-10,60.668,
2010-01,63.987,
2010-04,58.069,
2010-07,64.817,
2010-10,65.371,
2011-01,66.218,
2011-04,68.365,
2011-07,70.422,
2011-10,65.740,
2012-01,67.989,
2012-04,65.374,
2012-07,68.339,
2012-10,67.653,
2013-01,73.334,
2013-04,70.957,
2013-07,61.088,
2013-10,62.901,
2014-01,62.481,
2014-04,62.698,
2014-07,63.318,
