"",BBK01.OEBM04V,BBK01.OEBM04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:42,
2002-01,0.814,
2002-04,0.713,
2002-07,0.833,
2002-10,0.797,
2003-01,0.608,
2003-04,0.648,
2003-07,0.637,
2003-10,0.868,
2004-01,0.527,
2004-04,0.442,
2004-07,0.433,
2004-10,0.595,
2005-01,0.510,
2005-04,0.472,
2005-07,0.449,
2005-10,0.502,
2006-01,0.454,
2006-04,0.697,
2006-07,0.898,
2006-10,0.572,
2007-01,0.701,
2007-04,0.752,
2007-07,0.771,
2007-10,0.866,
2008-01,1.124,
2008-04,1.232,
2008-07,1.198,
2008-10,0.894,
2009-01,0.612,
2009-04,0.572,
2009-07,0.510,
2009-10,0.462,
2010-01,0.338,
2010-04,0.317,
2010-07,0.281,
2010-10,0.363,
2011-01,0.450,
2011-04,0.314,
2011-07,0.714,
2011-10,1.083,
2012-01,1.297,
2012-04,1.175,
2012-07,0.922,
2012-10,0.759,
2013-01,0.870,
2013-04,1.171,
2013-07,1.269,
2013-10,1.462,
2014-01,0.972,
2014-04,1.169,
2014-07,1.266,
