"",BBK01.OEAN05K,BBK01.OEAN05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:56,
2002-01,3.458,
2002-04,3.259,
2002-07,2.793,
2002-10,2.881,
2003-01,2.944,
2003-04,2.935,
2003-07,2.864,
2003-10,2.720,
2004-01,2.656,
2004-04,2.715,
2004-07,2.663,
2004-10,2.675,
2005-01,2.364,
2005-04,2.143,
2005-07,2.259,
2005-10,2.142,
2006-01,2.078,
2006-04,2.009,
2006-07,1.920,
2006-10,1.876,
2007-01,1.874,
2007-04,1.654,
2007-07,1.569,
2007-10,1.963,
2008-01,1.809,
2008-04,1.755,
2008-07,1.709,
2008-10,1.683,
2009-01,1.849,
2009-04,1.926,
2009-07,2.029,
2009-10,2.122,
2010-01,2.205,
2010-04,2.112,
2010-07,2.131,
2010-10,2.208,
2011-01,2.244,
2011-04,2.262,
2011-07,2.223,
2011-10,2.151,
2012-01,2.202,
2012-04,2.240,
2012-07,2.336,
2012-10,2.389,
2013-01,2.612,
2013-04,2.650,
2013-07,2.743,
2013-10,2.892,
2014-01,3.184,
2014-04,3.379,
2014-07,3.498,
