"",BBK01.OEYB03I,BBK01.OEYB03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:38,
2002-01,2.584,
2002-04,2.619,
2002-07,2.283,
2002-10,2.175,
2003-01,2.433,
2003-04,2.461,
2003-07,2.748,
2003-10,2.480,
2004-01,2.602,
2004-04,2.443,
2004-07,2.488,
2004-10,2.472,
2005-01,2.389,
2005-04,2.464,
2005-07,2.212,
2005-10,2.394,
2006-01,2.566,
2006-04,2.617,
2006-07,3.359,
2006-10,3.261,
2007-01,3.063,
2007-04,4.119,
2007-07,3.921,
2007-10,3.783,
2008-01,4.392,
2008-04,5.206,
2008-07,5.544,
2008-10,5.997,
2009-01,6.039,
2009-04,8.387,
2009-07,11.015,
2009-10,11.632,
2010-01,11.829,
2010-04,11.670,
2010-07,10.516,
2010-10,11.142,
2011-01,13.898,
2011-04,13.597,
2011-07,12.712,
2011-10,13.066,
2012-01,13.137,
2012-04,13.198,
2012-07,12.062,
2012-10,12.211,
2013-01,11.579,
2013-04,11.488,
2013-07,10.423,
2013-10,10.223,
2014-01,11.030,
2014-04,10.692,
2014-07,10.961,
