"",BBK01.OECB16S,BBK01.OECB16S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:55,
2002-01,0.638,
2002-04,0.637,
2002-07,0.635,
2002-10,0.486,
2003-01,0.476,
2003-04,0.469,
2003-07,0.460,
2003-10,0.447,
2004-01,0.442,
2004-04,0.437,
2004-07,0.433,
2004-10,0.427,
2005-01,0.466,
2005-04,0.454,
2005-07,0.447,
2005-10,0.437,
2006-01,0.436,
2006-04,0.439,
2006-07,0.439,
2006-10,0.426,
2007-01,0.422,
2007-04,0.418,
2007-07,0.415,
2007-10,0.406,
2008-01,0.403,
2008-04,0.399,
2008-07,0.397,
2008-10,0.393,
2009-01,0.389,
2009-04,0.526,
2009-07,0.519,
2009-10,0.514,
2010-01,0.509,
2010-04,0.503,
2010-07,0.496,
2010-10,0.508,
2011-01,0.485,
2011-04,0.486,
2011-07,0.477,
2011-10,0.473,
2012-01,0.449,
2012-04,0.437,
2012-07,0.433,
2012-10,0.430,
2013-01,0.433,
2013-04,0.438,
2013-07,0.437,
2013-10,0.442,
2014-01,0.443,
2014-04,0.441,
2014-07,0.442,
