"",BBSF2.M.1.S.00000.REN01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.REN01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Bonds funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:39,
2009-09,7351,
2009-10,6821,
2009-11,6279,
2009-12,5792,
2010-01,6610,
2010-02,6638,
2010-03,6321,
2010-04,5929,
2010-05,6379,
2010-06,6351,
2010-07,6514,
2010-08,5770,
2010-09,6533,
2010-10,6875,
2010-11,7309,
2010-12,6428,
2011-01,7559,
2011-02,7967,
2011-03,7433,
2011-04,8010,
2011-05,6938,
2011-06,6806,
2011-07,7501,
2011-08,8079,
2011-09,7745,
2011-10,7898,
2011-11,7695,
2011-12,6856,
2012-01,7624,
2012-02,7795,
2012-03,7522,
2012-04,7524,
2012-05,7832,
2012-06,9101,
2012-07,8719,
2012-08,7810,
2012-09,8224,
2012-10,8496,
2012-11,8020,
2012-12,7449,
2013-01,7920,
2013-02,8061,
2013-03,7856,
2013-04,7611,
2013-05,6880,
2013-06,7128,
2013-07,7104,
2013-08,6881,
2013-09,7359,
2013-10,8348,
2013-11,6956,
2013-12,6706,
2014-01,7021,
2014-02,7209,
2014-03,6541,
2014-04,7121,
2014-05,6772,
2014-06,6725,
2014-07,6778,
2014-08,6611,
2014-09,6370,
2014-10,6392,
2014-11,7027,
