"",BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:32,
1991-01,1830.693,
1991-04,35.054,
1991-07,855.449,
1991-10,1028.440,
1992-01,-179.748,
1992-04,-114.660,
1992-07,1792.185,
1992-10,2068.042,
1993-01,19.256,
1993-04,1202.875,
1993-07,2110.512,
1993-10,2897.347,
1994-01,-477.842,
1994-04,-727.906,
1994-07,-129.045,
1994-10,985.783,
1995-01,447.911,
1995-04,-1036.655,
1995-07,684.909,
1995-10,2916.499,
1996-01,-1654.136,
1996-04,294.592,
1996-07,1433.139,
1996-10,1419.864,
1997-01,-1488.746,
1997-04,-75.574,
1997-07,-702.149,
1997-10,250.815,
1998-01,145.049,
1998-04,2874.283,
1998-07,4066.151,
1998-10,-2144.913,
1999-01,-124.323,
1999-04,348.297,
1999-07,-1750.223,
1999-10,-2165.379,
2000-01,2045.696,
2000-04,92.836,
2000-07,1170.138,
2000-10,1149.951,
2001-01,5427.212,
2001-04,2178.740,
2001-07,2062.657,
2001-10,2237.650,
2002-01,2528.087,
2002-04,152.019,
2002-07,2634.658,
2002-10,-309.125,
2003-01,-1551.151,
2003-04,1468.764,
2003-07,1312.597,
2003-10,2188.564,
2004-01,1847.823,
2004-04,2206.036,
2004-07,-2078.913,
2004-10,888.818,
2005-01,9545.364,
2005-04,1571.044,
2005-07,7040.684,
2005-10,6222.804,
2006-01,2556.108,
2006-04,4154.563,
2006-07,3783.610,
2006-10,16168.562,
2007-01,1328.376,
2007-04,1764.928,
2007-07,7136.944,
2007-10,7440.895,
2008-01,9898.880,
2008-04,108.383,
2008-07,4704.498,
2008-10,8208.264,
2009-01,2359.655,
2009-04,2508.491,
2009-07,452.356,
2009-10,-56.032,
2010-01,-724.906,
2010-04,-1403.303,
2010-07,-1691.321,
2010-10,-79.966,
2011-01,-3173.603,
2011-04,-4257.047,
2011-07,-417.076,
2011-10,1358.237,
2012-01,10044.992,
2012-04,8690.809,
2012-07,1359.407,
2012-10,8395.261,
2013-01,-4466.941,
2013-04,-330.242,
2013-07,-728.262,
2013-10,-7345.003,
2014-01,-4800.157,Provisional value
2014-04,-482.825,Provisional value
2014-07,-1371.942,Provisional value
2014-10,-938.189,Provisional value
