"",BBK01.OECB01T,BBK01.OECB01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:00,
2002-01,4.142,
2002-04,4.117,
2002-07,4.049,
2002-10,3.966,
2003-01,3.872,
2003-04,3.848,
2003-07,3.821,
2003-10,3.665,
2004-01,3.606,
2004-04,3.565,
2004-07,3.471,
2004-10,3.565,
2005-01,4.323,
2005-04,4.292,
2005-07,4.288,
2005-10,4.222,
2006-01,4.179,
2006-04,4.155,
2006-07,4.214,
2006-10,4.124,
2007-01,4.062,
2007-04,4.140,
2007-07,4.075,
2007-10,4.044,
2008-01,4.274,
2008-04,4.291,
2008-07,4.303,
2008-10,4.144,
2009-01,4.134,
2009-04,4.486,
2009-07,4.378,
2009-10,4.366,
2010-01,4.286,
2010-04,4.267,
2010-07,4.819,
2010-10,4.642,
2011-01,4.894,
2011-04,4.847,
2011-07,4.791,
2011-10,4.726,
2012-01,4.771,
2012-04,4.736,
2012-07,4.686,
2012-10,4.621,
2013-01,5.194,
2013-04,4.591,
2013-07,4.604,
2013-10,4.336,
2014-01,4.637,
2014-04,4.592,
2014-07,4.854,
