"",BBFB1.M.N.DE.W1.S1.S1.T.C.SC21._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SC21._Z._Z._Z._T._X.N_FLAGS
"",Current account / Transport / Air transport / Passenger / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:17,
1991-01,65.722,
1991-02,214.145,
1991-03,209.771,
1991-04,294.242,
1991-05,321.318,
1991-06,378.307,
1991-07,363.982,
1991-08,388.303,
1991-09,407.932,
1991-10,396.855,
1991-11,336.132,
1991-12,501.015,
1992-01,80.642,
1992-02,278.293,
1992-03,316.641,
1992-04,371.316,
1992-05,351.642,
1992-06,395.176,
1992-07,365.468,
1992-08,327.824,
1992-09,302.650,
1992-10,387.710,
1992-11,354.352,
1992-12,391.626,
1993-01,86.664,
1993-02,273.502,
1993-03,310.111,
1993-04,322.790,
1993-05,328.754,
1993-06,361.143,
1993-07,336.022,
1993-08,297.632,
1993-09,377.668,
1993-10,365.731,
1993-11,301.975,
1993-12,478.556,
1994-01,89.641,
1994-02,273.485,
1994-03,310.790,
1994-04,343.087,
1994-05,343.612,
1994-06,364.180,
1994-07,365.566,
1994-08,339.885,
1994-09,356.340,
1994-10,368.136,
1994-11,344.036,
1994-12,459.737,
1995-01,92.083,
1995-02,292.758,
1995-03,342.055,
1995-04,328.994,
1995-05,361.199,
1995-06,371.855,
1995-07,365.860,
1995-08,332.202,
1995-09,365.398,
1995-10,350.441,
1995-11,347.125,
1995-12,547.170,
1996-01,123.452,
1996-02,306.236,
1996-03,374.380,
1996-04,360.566,
1996-05,398.906,
1996-06,434.601,
1996-07,427.224,
1996-08,410.992,
1996-09,402.295,
1996-10,429.621,
1996-11,427.589,
1996-12,495.303,
1997-01,159.269,
1997-02,342.756,
1997-03,449.555,
1997-04,475.112,
1997-05,518.551,
1997-06,492.880,
1997-07,567.233,
1997-08,527.169,
1997-09,485.618,
1997-10,584.589,
1997-11,250.606,
1997-12,875.456,
1998-01,173.750,
1998-02,400.683,
1998-03,464.994,
1998-04,492.884,
1998-05,582.002,
1998-06,481.205,
1998-07,605.918,
1998-08,581.087,
1998-09,510.751,
1998-10,573.374,
1998-11,511.988,
1998-12,873.522,
1999-01,178.546,
1999-02,401.776,
1999-03,472.244,
1999-04,500.839,
1999-05,596.070,
1999-06,480.385,
1999-07,598.302,
1999-08,587.823,
1999-09,519.920,
1999-10,583.988,
1999-11,506.542,
1999-12,860.824,
2000-01,204.825,
2000-02,401.866,
2000-03,478.005,
2000-04,504.187,
2000-05,605.144,
2000-06,456.363,
2000-07,589.133,
2000-08,575.345,
2000-09,536.705,
2000-10,599.797,
2000-11,504.681,
2000-12,862.518,
2001-01,186.303,
2001-02,411.499,
2001-03,472.336,
2001-04,502.077,
2001-05,604.476,
2001-06,461.381,
2001-07,590.541,
2001-08,585.508,
2001-09,504.133,
2001-10,577.405,
2001-11,497.762,
2001-12,852.460,
2002-01,210.063,
2002-02,473.721,
2002-03,466.183,
2002-04,664.709,
2002-05,562.619,
2002-06,759.111,
2002-07,623.420,
2002-08,559.759,
2002-09,702.971,
2002-10,717.147,
2002-11,685.354,
2002-12,786.361,
2003-01,300.564,
2003-02,281.976,
2003-03,562.433,
2003-04,547.789,
2003-05,418.251,
2003-06,587.581,
2003-07,551.199,
2003-08,425.587,
2003-09,565.617,
2003-10,427.784,
2003-11,523.617,
2003-12,585.075,
2004-01,392.368,
2004-02,411.982,
2004-03,652.563,
2004-04,577.589,
2004-05,427.681,
2004-06,765.513,
2004-07,531.099,
2004-08,508.945,
2004-09,542.293,
2004-10,628.343,
2004-11,600.779,
2004-12,609.908,
2005-01,386.664,
2005-02,477.014,
2005-03,633.413,
2005-04,601.091,
2005-05,629.581,
2005-06,890.109,
2005-07,837.262,
2005-08,853.232,
2005-09,846.263,
2005-10,793.752,
2005-11,857.489,
2005-12,882.934,
2006-01,444.299,
2006-02,604.347,
2006-03,824.042,
2006-04,911.305,
2006-05,870.091,
2006-06,887.100,
2006-07,891.018,
2006-08,898.713,
2006-09,666.315,
2006-10,833.735,
2006-11,822.381,
2006-12,797.205,
2007-01,509.844,
2007-02,569.330,
2007-03,789.989,
2007-04,921.772,
2007-05,699.552,
2007-06,814.117,
2007-07,872.403,
2007-08,861.422,
2007-09,755.811,
2007-10,827.433,
2007-11,774.887,
2007-12,680.247,
2008-01,511.011,
2008-02,723.614,
2008-03,632.933,
2008-04,741.534,
2008-05,741.978,
2008-06,751.378,
2008-07,790.061,
2008-08,698.877,
2008-09,749.526,
2008-10,773.255,
2008-11,747.276,
2008-12,723.419,
2009-01,514.524,
2009-02,747.986,
2009-03,765.369,
2009-04,709.724,
2009-05,749.511,
2009-06,731.640,
2009-07,771.227,
2009-08,656.500,
2009-09,774.973,
2009-10,797.056,
2009-11,752.512,
2009-12,634.161,
2010-01,613.646,
2010-02,711.374,
2010-03,864.876,
2010-04,892.546,
2010-05,958.354,
2010-06,964.779,
2010-07,1006.650,
2010-08,893.042,
2010-09,977.623,
2010-10,986.449,
2010-11,871.945,
2010-12,747.039,
2011-01,718.195,
2011-02,817.776,
2011-03,979.422,
2011-04,820.428,
2011-05,904.120,
2011-06,843.638,
2011-07,865.319,
2011-08,756.228,
2011-09,861.005,
2011-10,828.123,
2011-11,810.288,
2011-12,677.105,
2012-01,652.092,
2012-02,752.979,
2012-03,850.063,
2012-04,872.284,
2012-05,944.128,
2012-06,943.837,
2012-07,927.681,
2012-08,820.116,
2012-09,903.611,
2012-10,888.045,
2012-11,800.652,
2012-12,651.224,
2013-01,682.170,
2013-02,761.208,
2013-03,835.900,
2013-04,853.647,
2013-05,920.063,
2013-06,949.813,
2013-07,879.189,
2013-08,896.155,
2013-09,905.161,
2013-10,867.741,
2013-11,814.047,
2013-12,571.026,
2014-01,700.437,
2014-02,696.462,Provisional value
2014-03,721.644,Provisional value
2014-04,721.832,Provisional value
2014-05,833.610,Provisional value
2014-06,799.807,Provisional value
2014-07,835.984,Provisional value
2014-08,749.174,Provisional value
2014-09,789.823,
2014-10,813.417,
2014-11,693.044,
2014-12,569.351,Provisional value
