"",BBFN1.M.DE.N.1.L.TW.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TW.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:25,
1994-07,0.162,
1994-08,0.160,
1994-09,0.164,
1994-10,0.182,
1994-11,0.192,
1994-12,0.213,
1995-01,0.177,
1995-02,0.172,
1995-03,0.202,
1995-04,0.184,
1995-05,0.178,
1995-06,0.184,
1995-07,0.180,
1995-08,0.195,
1995-09,0.192,
1995-10,0.208,
1995-11,0.235,
1995-12,0.235,
1996-01,0.203,
1996-02,0.202,
1996-03,0.213,
1996-04,0.198,
1996-05,0.204,
1996-06,0.210,
1996-07,0.180,
1996-08,0.173,
1996-09,0.186,
1996-10,0.197,
1996-11,0.216,
1996-12,0.205,
1997-01,0.191,
1997-02,0.196,
1997-03,0.204,
1997-04,0.219,
1997-05,0.209,
1997-06,0.207,
1997-07,0.195,
1997-08,0.203,
1997-09,0.232,
1997-10,0.242,
1997-11,0.251,
1997-12,0.253,
1998-01,0.244,
1998-02,0.251,
1998-03,0.256,
1998-04,0.289,
1998-05,0.264,
1998-06,0.275,
1998-07,0.301,
1998-08,0.325,
1998-09,0.366,
1998-10,0.353,
1998-11,0.336,
1998-12,0.401,
1999-01,0.378,
1999-02,0.343,
1999-03,0.370,
1999-04,0.359,
1999-05,0.373,
1999-06,0.398,
1999-07,0.361,
1999-08,0.400,
1999-09,0.460,
1999-10,0.482,
1999-11,0.639,
1999-12,0.607,
2000-01,0.596,
2000-02,0.583,
2000-03,0.555,
2000-04,0.566,
2000-05,0.525,
2000-06,0.542,
2000-07,0.564,
2000-08,0.675,
2000-09,0.758,
2000-10,0.827,
2000-11,0.777,
2000-12,0.699,
2001-01,0.616,
2001-02,0.607,
2001-03,0.553,
2001-04,0.557,
2001-05,0.535,
2001-06,0.532,
2001-07,0.488,
2001-08,0.509,
2001-09,0.588,
2001-10,0.615,
2001-11,0.686,
2001-12,0.688,
2002-01,0.594,
2002-02,0.596,
2002-03,0.600,
2002-04,0.627,
2002-05,0.575,
2002-06,0.628,
2002-07,0.568,
2002-08,0.548,
2002-09,0.689,
2002-10,0.714,
2002-11,0.667,
2002-12,0.751,
2003-01,0.718,
2003-02,0.577,
2003-03,0.536,
2003-04,0.527,
2003-05,0.486,
2003-06,0.465,
2003-07,0.439,
2003-08,0.493,
2003-09,0.576,
2003-10,0.613,
2003-11,0.647,
2003-12,0.623,
2004-01,0.519,
2004-02,0.538,
2004-03,0.561,
2004-04,0.498,
2004-05,0.509,
2004-06,0.478,
2004-07,0.401,
2004-08,0.447,
2004-09,0.539,
2004-10,0.603,
2004-11,0.618,
2004-12,0.585,
2005-01,0.494,
2005-02,0.418,
2005-03,0.490,
2005-04,0.394,
2005-05,0.449,
2005-06,0.409,
2005-07,0.388,
2005-08,0.431,
2005-09,0.571,
2005-10,0.616,
2005-11,0.601,
2005-12,0.656,
2006-01,0.571,
2006-02,0.602,
2006-03,0.575,
2006-04,0.494,
2006-05,0.590,
2006-06,0.444,
2006-07,0.443,
2006-08,0.579,
2006-09,0.662,
2006-10,0.675,
2006-11,0.702,
2006-12,0.744,
2007-01,0.755,
2007-02,0.726,
2007-03,0.763,
2007-04,0.692,
2007-05,0.683,
2007-06,0.597,
2007-07,0.573,
2007-08,0.628,
2007-09,0.654,
2007-10,0.695,
2007-11,0.732,
2007-12,0.660,
2008-01,0.645,
2008-02,0.602,
2008-03,0.621,
2008-04,0.563,
2008-05,0.488,
2008-06,0.544,
2008-07,0.658,
2008-08,0.528,
2008-09,0.548,
2008-10,0.563,
2008-11,0.606,
2008-12,0.543,
2009-01,0.431,
2009-02,0.413,
2009-03,0.389,
2009-04,0.374,
2009-05,0.351,
2009-06,0.373,
2009-07,0.365,
2009-08,0.383,
2009-09,0.419,
2009-10,0.449,
2009-11,0.450,
2009-12,0.460,
2010-01,0.423,
2010-02,0.421,
2010-03,0.448,
2010-04,0.436,
2010-05,0.438,
2010-06,0.473,
2010-07,0.483,
2010-08,0.496,
2010-09,0.527,
2010-10,0.544,
2010-11,0.578,
2010-12,0.640,
2011-01,0.588,
2011-02,0.543,
2011-03,0.556,
2011-04,0.549,
2011-05,0.526,
2011-06,0.569,
2011-07,0.550,
2011-08,0.518,
2011-09,0.576,
2011-10,0.589,
2011-11,0.577,
2011-12,0.593,
2012-01,0.548,
2012-02,0.505,
2012-03,0.558,
2012-04,0.621,
2012-05,0.604,
2012-06,0.625,
2012-07,0.606,
2012-08,0.553,
2012-09,0.592,
2012-10,0.597,
2012-11,0.665,
2012-12,0.647,
2013-01,0.596,
2013-02,0.591,
2013-03,0.542,
2013-04,0.567,
2013-05,0.570,
2013-06,0.611,
2013-07,0.574,
2013-08,0.571,
2013-09,0.600,
2013-10,0.592,
2013-11,0.579,
2013-12,0.592,
2014-01,0.568,
2014-02,0.539,
2014-03,0.555,
2014-04,0.561,
2014-05,0.584,
2014-06,0.601,
2014-07,0.604,
2014-08,0.605,
2014-09,0.606,
2014-10,0.614,
2014-11,0.608,
2014-12,0.614,
