"",BBK01.OEXM02S,BBK01.OEXM02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:39,
2002-01,0.048,
2002-04,0.070,
2002-07,0.076,
2002-10,0.085,
2003-01,0.084,
2003-04,0.088,
2003-07,0.098,
2003-10,0.092,
2004-01,0.094,
2004-04,0.107,
2004-07,0.111,
2004-10,0.118,
2005-01,0.126,
2005-04,0.140,
2005-07,0.171,
2005-10,0.168,
2006-01,0.152,
2006-04,0.162,
2006-07,0.150,
2006-10,0.155,
2007-01,0.145,
2007-04,0.138,
2007-07,0.116,
2007-10,0.115,
2008-01,0.102,
2008-04,0.105,
2008-07,0.099,
2008-10,0.209,
2009-01,0.487,
2009-04,0.648,
2009-07,0.693,
2009-10,0.720,
2010-01,0.721,
2010-04,0.757,
2010-07,0.769,
2010-10,0.773,
2011-01,0.708,
2011-04,0.692,
2011-07,0.682,
2011-10,0.519,
2012-01,0.342,
2012-04,0.268,
2012-07,0.268,
2012-10,0.242,
2013-01,0.248,
2013-04,0.288,
2013-07,0.290,
2013-10,0.308,
2014-01,0.226,
2014-04,0.265,
2014-07,0.251,
