"",BBK01.OEAJ01K,BBK01.OEAJ01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:59,
2002-01,40.035,
2002-04,40.702,
2002-07,45.318,
2002-10,46.429,
2003-01,46.302,
2003-04,46.480,
2003-07,45.244,
2003-10,47.243,
2004-01,46.094,
2004-04,48.757,
2004-07,50.293,
2004-10,38.201,
2005-01,38.068,
2005-04,38.780,
2005-07,40.330,
2005-10,40.963,
2006-01,42.163,
2006-04,44.282,
2006-07,51.393,
2006-10,50.583,
2007-01,52.148,
2007-04,53.672,
2007-07,55.241,
2007-10,55.294,
2008-01,54.707,
2008-04,53.847,
2008-07,55.198,
2008-10,55.594,
2009-01,53.957,
2009-04,53.639,
2009-07,54.205,
2009-10,54.001,
2010-01,53.904,
2010-04,55.369,
2010-07,55.308,
2010-10,57.276,
2011-01,55.042,
2011-04,54.445,
2011-07,49.270,
2011-10,49.678,
2012-01,48.789,
2012-04,49.254,
2012-07,50.490,
2012-10,50.370,
2013-01,50.468,
2013-04,49.369,
2013-07,49.597,
2013-10,49.751,
2014-01,49.418,
2014-04,49.092,
2014-07,50.726,
