"",BBK01.OEAC38I,BBK01.OEAC38I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:44,
2002-01,0.034,
2002-04,0.029,
2002-07,0.022,
2002-10,0.012,
2003-01,0.096,
2003-04,0.097,
2003-07,0.119,
2003-10,0.038,
2004-01,0.042,
2004-04,0.057,
2004-07,0.070,
2004-10,0.400,
2005-01,0.400,
2005-04,0.403,
2005-07,0.400,
2005-10,0.047,
2006-01,0.238,
2006-04,0.250,
2006-07,0.239,
2006-10,0.114,
2007-01,0.179,
2007-04,0.177,
2007-07,0.216,
2007-10,0.245,
2008-01,0.189,
2008-04,0.200,
2008-07,0.279,
2008-10,0.346,
2009-01,0.337,
2009-04,0.695,
2009-07,0.888,
2009-10,1.114,
2010-01,1.358,
2010-04,1.689,
2010-07,1.810,
2010-10,1.776,
2011-01,2.044,
2011-04,2.148,
2011-07,2.400,
2011-10,2.941,
2012-01,2.991,
2012-04,3.386,
2012-07,3.230,
2012-10,3.932,
2013-01,3.888,
2013-04,4.175,
2013-07,3.106,
2013-10,2.874,
2014-01,3.574,
2014-04,3.713,
2014-07,4.022,
