"",BBK01.OEBL07Q,BBK01.OEBL07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:54,
2002-01,2.483,
2002-04,2.326,
2002-07,2.359,
2002-10,2.474,
2003-01,2.507,
2003-04,2.464,
2003-07,2.461,
2003-10,2.417,
2004-01,2.351,
2004-04,2.292,
2004-07,2.353,
2004-10,2.378,
2005-01,4.010,
2005-04,3.947,
2005-07,3.910,
2005-10,3.924,
2006-01,3.983,
2006-04,3.919,
2006-07,3.855,
2006-10,3.845,
2007-01,4.026,
2007-04,4.051,
2007-07,4.031,
2007-10,4.176,
2008-01,4.222,
2008-04,4.278,
2008-07,4.255,
2008-10,4.597,
2009-01,4.790,
2009-04,4.953,
2009-07,5.162,
2009-10,5.121,
2010-01,5.097,
2010-04,5.043,
2010-07,5.050,
2010-10,5.211,
2011-01,5.290,
2011-04,5.132,
2011-07,5.070,
2011-10,5.040,
2012-01,5.168,
2012-04,5.069,
2012-07,5.014,
2012-10,5.040,
2013-01,4.865,
2013-04,4.735,
2013-07,4.647,
2013-10,4.625,
2014-01,4.577,
2014-04,4.500,
2014-07,4.643,
