"",BBK01.OEAD06I,BBK01.OEAD06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:01,
2002-01,0.496,
2002-04,0.443,
2002-07,0.463,
2002-10,0.388,
2003-01,0.320,
2003-04,0.309,
2003-07,0.356,
2003-10,0.413,
2004-01,0.330,
2004-04,0.310,
2004-07,0.298,
2004-10,0.335,
2005-01,0.315,
2005-04,0.362,
2005-07,0.341,
2005-10,0.314,
2006-01,0.257,
2006-04,0.312,
2006-07,0.370,
2006-10,0.309,
2007-01,0.305,
2007-04,0.330,
2007-07,0.316,
2007-10,0.285,
2008-01,0.447,
2008-04,0.574,
2008-07,0.561,
2008-10,0.640,
2009-01,0.436,
2009-04,0.430,
2009-07,0.431,
2009-10,0.312,
2010-01,0.351,
2010-04,0.351,
2010-07,0.345,
2010-10,0.320,
2011-01,0.393,
2011-04,0.362,
2011-07,0.355,
2011-10,0.285,
2012-01,0.296,
2012-04,0.285,
2012-07,0.268,
2012-10,0.247,
2013-01,0.249,
2013-04,0.201,
2013-07,0.185,
2013-10,0.205,
2014-01,0.198,
2014-04,0.204,
2014-07,0.169,
