"",BBK01.OELM02M,BBK01.OELM02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:34,
2002-01,0.090,
2002-04,0.091,
2002-07,0.093,
2002-10,0.128,
2003-01,0.097,
2003-04,0.095,
2003-07,0.095,
2003-10,0.140,
2004-01,0.118,
2004-04,0.119,
2004-07,0.111,
2004-10,0.139,
2005-01,0.123,
2005-04,0.136,
2005-07,0.128,
2005-10,0.163,
2006-01,0.142,
2006-04,0.153,
2006-07,0.153,
2006-10,0.179,
2007-01,0.147,
2007-04,0.164,
2007-07,0.177,
2007-10,0.209,
2008-01,0.169,
2008-04,0.157,
2008-07,0.154,
2008-10,0.195,
2009-01,0.190,
2009-04,0.226,
2009-07,0.263,
2009-10,0.276,
2010-01,0.240,
2010-04,0.227,
2010-07,0.245,
2010-10,0.253,
2011-01,0.186,
2011-04,0.207,
2011-07,0.181,
2011-10,0.247,
2012-01,0.194,
2012-04,0.242,
2012-07,0.258,
2012-10,0.315,
2013-01,0.303,
2013-04,0.272,
2013-07,0.286,
2013-10,0.344,
2014-01,0.338,
2014-04,0.416,
2014-07,0.513,
