"",BBSF2.M.1.S.I1250.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:45,
2009-09,3358,
2009-10,7349,
2009-11,4609,
2009-12,7622,
2010-01,6027,
2010-02,3792,
2010-03,4986,
2010-04,4859,
2010-05,3016,
2010-06,3175,
2010-07,3182,
2010-08,2783,
2010-09,4500,
2010-10,4458,
2010-11,3365,
2010-12,8238,
2011-01,5195,
2011-02,3174,
2011-03,2618,
2011-04,2677,
2011-05,1536,
2011-06,1797,
2011-07,2399,
2011-08,1821,
2011-09,2037,
2011-10,1669,
2011-11,8210,
2011-12,6041,
2012-01,4700,
2012-02,10635,
2012-03,4666,
2012-04,1405,
2012-05,2981,
2012-06,4801,
2012-07,10673,
2012-08,2696,
2012-09,7571,
2012-10,4909,
2012-11,8952,
2012-12,7013,
2013-01,6417,
2013-02,6030,
2013-03,6935,
2013-04,3381,
2013-05,5329,
2013-06,3101,
2013-07,3200,
2013-08,1690,
2013-09,3135,
2013-10,5934,
2013-11,9869,
2013-12,6414,
2014-01,4183,
2014-02,4928,
2014-03,4008,
2014-04,8463,
2014-05,5165,
2014-06,3910,
2014-07,9778,
2014-08,2975,
2014-09,3576,
2014-10,4019,
2014-11,7969,
