"",BBK01.OEAE36M,BBK01.OEAE36M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:33,
2002-01,3.060,
2002-04,3.029,
2002-07,3.000,
2002-10,3.012,
2003-01,2.942,
2003-04,3.174,
2003-07,3.048,
2003-10,3.252,
2004-01,3.252,
2004-04,3.266,
2004-07,3.375,
2004-10,3.124,
2005-01,3.151,
2005-04,3.104,
2005-07,3.083,
2005-10,3.066,
2006-01,3.066,
2006-04,3.084,
2006-07,3.271,
2006-10,3.285,
2007-01,3.127,
2007-04,3.218,
2007-07,3.225,
2007-10,3.248,
2008-01,3.303,
2008-04,3.302,
2008-07,3.181,
2008-10,2.934,
2009-01,2.718,
2009-04,2.755,
2009-07,2.862,
2009-10,2.780,
2010-01,-0.728,
2010-04,-0.555,
2010-07,-0.632,
2010-10,2.993,
2011-01,2.917,
2011-04,2.936,
2011-07,2.925,
2011-10,2.940,
2012-01,2.899,
2012-04,2.904,
2012-07,2.970,
2012-10,3.043,
2013-01,2.190,
2013-04,2.145,
2013-07,2.142,
2013-10,2.140,
2014-01,2.125,
2014-04,2.087,
2014-07,2.101,
