"",BBK01.OEHB17T,BBK01.OEHB17T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:26,
2002-01,3.973,
2002-04,4.007,
2002-07,4.048,
2002-10,4.068,
2003-01,3.973,
2003-04,4.043,
2003-07,4.074,
2003-10,4.114,
2004-01,4.041,
2004-04,4.058,
2004-07,4.066,
2004-10,4.077,
2005-01,4.015,
2005-04,3.981,
2005-07,3.978,
2005-10,3.974,
2006-01,3.916,
2006-04,3.920,
2006-07,3.918,
2006-10,3.903,
2007-01,3.844,
2007-04,3.832,
2007-07,3.815,
2007-10,3.786,
2008-01,3.718,
2008-04,3.703,
2008-07,3.683,
2008-10,3.645,
2009-01,3.587,
2009-04,3.565,
2009-07,3.576,
2009-10,3.577,
2010-01,3.520,
2010-04,3.541,
2010-07,3.552,
2010-10,3.552,
2011-01,3.532,
2011-04,3.549,
2011-07,3.567,
2011-10,3.554,
2012-01,3.544,
2012-04,3.561,
2012-07,3.612,
2012-10,3.641,
2013-01,3.640,
2013-04,3.682,
2013-07,3.736,
2013-10,3.758,
2014-01,3.757,
2014-04,3.795,
2014-07,3.844,
