"",BBK01.OEAC32O,BBK01.OEAC32O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:01,
2002-01,0.721,
2002-04,0.613,
2002-07,0.655,
2002-10,0.684,
2003-01,0.658,
2003-04,0.715,
2003-07,0.709,
2003-10,0.704,
2004-01,0.695,
2004-04,0.646,
2004-07,0.672,
2004-10,0.616,
2005-01,0.604,
2005-04,0.604,
2005-07,0.599,
2005-10,0.616,
2006-01,0.637,
2006-04,0.633,
2006-07,0.612,
2006-10,0.601,
2007-01,0.658,
2007-04,0.647,
2007-07,0.602,
2007-10,0.613,
2008-01,0.645,
2008-04,0.675,
2008-07,0.614,
2008-10,0.604,
2009-01,0.589,
2009-04,0.683,
2009-07,0.662,
2009-10,0.707,
2010-01,0.853,
2010-04,0.723,
2010-07,0.767,
2010-10,0.736,
2011-01,0.722,
2011-04,0.701,
2011-07,0.729,
2011-10,0.741,
2012-01,0.759,
2012-04,0.752,
2012-07,0.762,
2012-10,0.796,
2013-01,0.790,
2013-04,0.782,
2013-07,0.820,
2013-10,0.825,
2014-01,0.817,
2014-04,0.805,
2014-07,0.786,
