"",BBFB1.Q.N.DE.1A.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.1A.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / International organisations,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:52,
1991-01,34.833,
1991-04,34.005,
1991-07,32.884,
1991-10,36.445,
1992-01,39.723,
1992-04,37.022,
1992-07,32.950,
1992-10,46.679,
1993-01,47.011,
1993-04,41.667,
1993-07,40.718,
1993-10,41.907,
1994-01,32.396,
1994-04,32.983,
1994-07,31.876,
1994-10,39.593,
1995-01,34.053,
1995-04,46.717,
1995-07,48.983,
1995-10,48.282,
1996-01,68.868,
1996-04,75.559,
1996-07,62.783,
1996-10,80.378,
1997-01,58.857,
1997-04,69.657,
1997-07,65.899,
1997-10,71.711,
1998-01,66.694,
1998-04,53.944,
1998-07,61.604,
1998-10,60.813,
1999-01,56.749,
1999-04,67.363,
1999-07,71.198,
1999-10,68.786,
2000-01,76.733,
2000-04,77.062,
2000-07,78.426,
2000-10,85.114,
2001-01,73.970,
2001-04,76.521,
2001-07,77.688,
2001-10,82.391,
2002-01,83.065,
2002-04,84.940,
2002-07,90.361,
2002-10,102.796,
2003-01,79.815,
2003-04,84.703,
2003-07,105.185,
2003-10,199.769,
2004-01,165.683,
2004-04,196.178,
2004-07,216.383,
2004-10,362.572,
2005-01,172.196,
2005-04,152.604,
2005-07,217.464,
2005-10,259.674,
2006-01,160.136,
2006-04,178.023,
2006-07,212.515,
2006-10,217.040,
2007-01,206.350,
2007-04,192.314,
2007-07,182.215,
2007-10,223.107,
2008-01,208.594,
2008-04,208.586,
2008-07,281.349,
2008-10,246.888,
2009-01,200.865,
2009-04,286.769,
2009-07,251.994,
2009-10,290.093,
2010-01,223.223,
2010-04,215.926,
2010-07,189.872,
2010-10,400.075,
2011-01,206.656,
2011-04,273.734,
2011-07,259.966,
2011-10,263.344,
2012-01,216.214,
2012-04,270.381,
2012-07,265.788,
2012-10,226.906,
2013-01,186.247,
2013-04,238.888,
2013-07,232.442,
2013-10,319.688,
2014-01,255.364,Provisional value
2014-04,361.259,Provisional value
2014-07,390.191,Provisional value
