"",BBK01.OEXL09U,BBK01.OEXL09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:45,
2002-01,0.293,
2002-04,0.280,
2002-07,0.299,
2002-10,0.288,
2003-01,0.259,
2003-04,0.234,
2003-07,0.214,
2003-10,0.205,
2004-01,0.199,
2004-04,0.185,
2004-07,0.174,
2004-10,0.167,
2005-01,0.177,
2005-04,0.165,
2005-07,0.128,
2005-10,0.127,
2006-01,0.125,
2006-04,0.138,
2006-07,0.148,
2006-10,0.167,
2007-01,0.254,
2007-04,0.284,
2007-07,0.318,
2007-10,0.383,
2008-01,0.428,
2008-04,0.454,
2008-07,0.478,
2008-10,0.623,
2009-01,0.595,
2009-04,0.563,
2009-07,0.554,
2009-10,0.482,
2010-01,0.405,
2010-04,0.390,
2010-07,0.366,
2010-10,0.452,
2011-01,0.516,
2011-04,0.536,
2011-07,0.547,
2011-10,0.537,
2012-01,0.515,
2012-04,0.522,
2012-07,0.498,
2012-10,0.435,
2013-01,0.380,
2013-04,0.340,
2013-07,0.318,
2013-10,0.297,
2014-01,0.281,
2014-04,0.264,
2014-07,0.319,
