"",BBK01.OEYJ05Q,BBK01.OEYJ05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:58,
2002-01,10.149,
2002-04,10.288,
2002-07,9.105,
2002-10,9.558,
2003-01,10.433,
2003-04,10.895,
2003-07,10.929,
2003-10,10.608,
2004-01,11.198,
2004-04,10.874,
2004-07,11.255,
2004-10,19.240,
2005-01,19.666,
2005-04,19.757,
2005-07,19.793,
2005-10,19.452,
2006-01,19.446,
2006-04,19.108,
2006-07,12.117,
2006-10,14.480,
2007-01,14.704,
2007-04,15.292,
2007-07,15.362,
2007-10,15.993,
2008-01,16.034,
2008-04,16.330,
2008-07,16.082,
2008-10,15.843,
2009-01,17.543,
2009-04,17.858,
2009-07,18.529,
2009-10,18.318,
2010-01,17.937,
2010-04,17.662,
2010-07,17.476,
2010-10,16.974,
2011-01,16.557,
2011-04,16.098,
2011-07,21.801,
2011-10,21.187,
2012-01,20.410,
2012-04,19.623,
2012-07,19.218,
2012-10,18.611,
2013-01,18.222,
2013-04,17.776,
2013-07,16.923,
2013-10,16.587,
2014-01,16.086,
2014-04,15.727,
2014-07,15.409,
