"",BBFN1.M.DE.N.1.L.DK.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.DK.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:16,
1994-07,0.534,
1994-08,0.599,
1994-09,0.665,
1994-10,0.711,
1994-11,0.714,
1994-12,0.656,
1995-01,0.650,
1995-02,0.646,
1995-03,0.669,
1995-04,0.651,
1995-05,0.672,
1995-06,0.666,
1995-07,0.638,
1995-08,0.666,
1995-09,0.640,
1995-10,0.634,
1995-11,0.645,
1995-12,0.546,
1996-01,0.508,
1996-02,0.503,
1996-03,0.559,
1996-04,0.553,
1996-05,0.590,
1996-06,0.582,
1996-07,0.582,
1996-08,0.605,
1996-09,0.610,
1996-10,0.635,
1996-11,0.668,
1996-12,0.624,
1997-01,0.624,
1997-02,0.618,
1997-03,0.650,
1997-04,0.616,
1997-05,0.619,
1997-06,0.713,
1997-07,0.674,
1997-08,0.706,
1997-09,0.749,
1997-10,0.681,
1997-11,0.672,
1997-12,0.656,
1998-01,0.726,
1998-02,0.738,
1998-03,0.731,
1998-04,0.733,
1998-05,0.694,
1998-06,0.723,
1998-07,0.714,
1998-08,0.728,
1998-09,0.714,
1998-10,0.761,
1998-11,0.761,
1998-12,0.786,
1999-01,0.800,
1999-02,0.787,
1999-03,0.778,
1999-04,0.796,
1999-05,0.810,
1999-06,0.811,
1999-07,0.846,
1999-08,0.842,
1999-09,0.881,
1999-10,0.907,
1999-11,0.940,
1999-12,0.993,
2000-01,0.906,
2000-02,0.980,
2000-03,0.983,
2000-04,0.983,
2000-05,0.994,
2000-06,1.072,
2000-07,1.062,
2000-08,1.140,
2000-09,1.184,
2000-10,1.106,
2000-11,1.096,
2000-12,1.121,
2001-01,1.057,
2001-02,1.097,
2001-03,1.062,
2001-04,1.014,
2001-05,1.000,
2001-06,1.053,
2001-07,1.031,
2001-08,1.034,
2001-09,1.146,
2001-10,1.142,
2001-11,1.139,
2001-12,1.116,
2002-01,1.019,
2002-02,1.003,
2002-03,0.976,
2002-04,0.977,
2002-05,0.964,
2002-06,1.075,
2002-07,1.010,
2002-08,1.039,
2002-09,1.096,
2002-10,1.237,
2002-11,1.161,
2002-12,1.175,
2003-01,1.102,
2003-02,1.122,
2003-03,1.139,
2003-04,1.130,
2003-05,1.117,
2003-06,1.232,
2003-07,1.239,
2003-08,1.151,
2003-09,1.240,
2003-10,1.243,
2003-11,1.471,
2003-12,1.109,
2004-01,1.113,
2004-02,1.100,
2004-03,1.205,
2004-04,1.151,
2004-05,1.139,
2004-06,1.153,
2004-07,1.083,
2004-08,1.104,
2004-09,1.110,
2004-10,1.130,
2004-11,1.250,
2004-12,1.185,
2005-01,0.993,
2005-02,1.042,
2005-03,1.033,
2005-04,1.136,
2005-05,1.135,
2005-06,1.091,
2005-07,0.977,
2005-08,1.110,
2005-09,1.087,
2005-10,1.029,
2005-11,1.075,
2005-12,1.200,
2006-01,0.945,
2006-02,0.970,
2006-03,1.152,
2006-04,1.088,
2006-05,1.081,
2006-06,1.100,
2006-07,1.152,
2006-08,1.098,
2006-09,1.049,
2006-10,1.108,
2006-11,1.136,
2006-12,1.154,
2007-01,0.999,
2007-02,0.969,
2007-03,1.053,
2007-04,1.064,
2007-05,1.105,
2007-06,1.091,
2007-07,1.083,
2007-08,1.191,
2007-09,1.263,
2007-10,1.309,
2007-11,1.335,
2007-12,1.378,
2008-01,1.260,
2008-02,1.308,
2008-03,1.359,
2008-04,1.416,
2008-05,1.405,
2008-06,1.491,
2008-07,1.404,
2008-08,1.362,
2008-09,1.623,
2008-10,1.557,
2008-11,1.676,
2008-12,1.654,
2009-01,1.439,
2009-02,1.329,
2009-03,1.392,
2009-04,1.378,
2009-05,1.396,
2009-06,1.366,
2009-07,1.248,
2009-08,1.341,
2009-09,1.360,
2009-10,1.490,
2009-11,1.508,
2009-12,1.594,
2010-01,1.284,
2010-02,1.245,
2010-03,1.395,
2010-04,1.308,
2010-05,1.255,
2010-06,1.344,
2010-07,1.221,
2010-08,1.282,
2010-09,1.298,
2010-10,1.247,
2010-11,1.302,
2010-12,1.067,
2011-01,1.008,
2011-02,1.085,
2011-03,1.083,
2011-04,1.067,
2011-05,1.173,
2011-06,1.265,
2011-07,1.217,
2011-08,1.161,
2011-09,1.236,
2011-10,1.235,
2011-11,1.342,
2011-12,1.385,
2012-01,1.353,
2012-02,1.305,
2012-03,1.315,
2012-04,1.341,
2012-05,1.263,
2012-06,1.286,
2012-07,1.243,
2012-08,1.306,
2012-09,1.341,
2012-10,1.809,
2012-11,1.849,
2012-12,1.713,
2013-01,1.643,
2013-02,1.707,
2013-03,1.750,
2013-04,1.827,
2013-05,1.607,
2013-06,1.449,
2013-07,1.492,
2013-08,1.579,
2013-09,1.633,
2013-10,1.548,
2013-11,1.550,
2013-12,1.403,
2014-01,1.804,
2014-02,1.751,
2014-03,1.895,
2014-04,1.890,
2014-05,1.399,
2014-06,1.365,
2014-07,1.381,
2014-08,1.384,
2014-09,1.508,
2014-10,1.450,
2014-11,1.322,
2014-12,1.337,
