"",BBK01.OEAF38O,BBK01.OEAF38O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:06,
2002-01,0.371,
2002-04,0.373,
2002-07,0.391,
2002-10,0.384,
2003-01,0.379,
2003-04,0.350,
2003-07,0.337,
2003-10,0.368,
2004-01,0.376,
2004-04,0.363,
2004-07,0.373,
2004-10,0.377,
2005-01,0.372,
2005-04,0.410,
2005-07,0.441,
2005-10,0.467,
2006-01,0.491,
2006-04,0.485,
2006-07,0.503,
2006-10,0.514,
2007-01,0.536,
2007-04,0.497,
2007-07,0.513,
2007-10,0.519,
2008-01,0.520,
2008-04,0.584,
2008-07,0.582,
2008-10,0.525,
2009-01,0.536,
2009-04,0.532,
2009-07,0.531,
2009-10,0.539,
2010-01,0.530,
2010-04,0.533,
2010-07,0.530,
2010-10,0.533,
2011-01,0.539,
2011-04,0.536,
2011-07,0.531,
2011-10,0.466,
2012-01,0.506,
2012-04,0.498,
2012-07,0.495,
2012-10,0.504,
2013-01,0.491,
2013-04,0.493,
2013-07,0.487,
2013-10,0.490,
2014-01,0.513,
2014-04,0.507,
2014-07,0.494,
