"",BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:28,
1991-01,938.337,
1991-04,710.481,
1991-07,565.217,
1991-10,880.713,
1992-01,756.479,
1992-04,-170.551,
1992-07,242.098,
1992-10,533.899,
1993-01,787.278,
1993-04,609.373,
1993-07,155.399,
1993-10,-1078.131,
1994-01,25.614,
1994-04,724.490,
1994-07,124.543,
1994-10,2137.599,
1995-01,167.656,
1995-04,408.833,
1995-07,1842.137,
1995-10,1685.473,
1996-01,1337.931,
1996-04,981.764,
1996-07,1103.646,
1996-10,4284.427,
1997-01,6653.727,
1997-04,49.363,
1997-07,728.037,
1997-10,5482.642,
1998-01,17530.515,
1998-04,7987.749,
1998-07,-2824.651,
1998-10,1912.072,
1999-01,8519.196,
1999-04,9439.148,
1999-07,9775.899,
1999-10,38019.285,
2000-01,156950.290,
2000-04,40220.306,
2000-07,61229.298,
2000-10,-20209.808,
2001-01,15013.122,
2001-04,6462.518,
2001-07,18915.658,
2001-10,11103.116,
2002-01,23188.061,
2002-04,19560.905,
2002-07,7394.075,
2002-10,8686.185,
2003-01,22439.462,
2003-04,16314.435,
2003-07,12834.189,
2003-10,471.256,
2004-01,-22302.787,
2004-04,3754.333,
2004-07,-1519.345,
2004-10,1244.916,
2005-01,8092.243,
2005-04,4003.531,
2005-07,3071.475,
2005-10,31029.948,
2006-01,12330.997,
2006-04,6954.067,
2006-07,9013.571,
2006-10,17220.595,
2007-01,14332.903,
2007-04,8599.711,
2007-07,3400.712,
2007-10,-13037.004,
2008-01,1893.435,
2008-04,11912.678,
2008-07,10377.730,
2008-10,1082.329,
2009-01,14893.954,
2009-04,8299.422,
2009-07,-688.469,
2009-10,16821.614,
2010-01,5306.669,
2010-04,11.420,
2010-07,18290.545,
2010-10,16845.439,
2011-01,3307.744,
2011-04,17922.220,
2011-07,11144.298,
2011-10,8969.292,
2012-01,6050.445,
2012-04,3075.974,
2012-07,-4204.029,
2012-10,16635.851,
2013-01,6706.368,
2013-04,13695.040,
2013-07,2650.899,
2013-10,7709.087,
2014-01,1787.912,Provisional value
2014-04,2995.617,Provisional value
2014-07,-11024.274,Provisional value
2014-10,-7361.818,Provisional value
