"",BBK01.OEAC53H,BBK01.OEAC53H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:18,
2002-01,4.173,
2002-04,4.123,
2002-07,4.115,
2002-10,4.290,
2003-01,4.169,
2003-04,4.112,
2003-07,4.489,
2003-10,4.980,
2004-01,4.941,
2004-04,4.327,
2004-07,4.171,
2004-10,4.231,
2005-01,4.282,
2005-04,4.105,
2005-07,4.418,
2005-10,4.906,
2006-01,5.255,
2006-04,5.233,
2006-07,5.716,
2006-10,5.692,
2007-01,5.619,
2007-04,5.658,
2007-07,5.676,
2007-10,5.658,
2008-01,6.178,
2008-04,6.276,
2008-07,6.165,
2008-10,6.320,
2009-01,6.389,
2009-04,6.277,
2009-07,6.482,
2009-10,6.556,
2010-01,8.410,
2010-04,8.557,
2010-07,8.901,
2010-10,8.918,
2011-01,8.709,
2011-04,8.758,
2011-07,8.684,
2011-10,8.861,
2012-01,8.575,
2012-04,8.441,
2012-07,8.396,
2012-10,8.056,
2013-01,8.209,
2013-04,8.290,
2013-07,7.932,
2013-10,8.057,
2014-01,7.995,
2014-04,7.997,
2014-07,8.197,
