"",BBK01.SUD104S,BBK01.SUD104S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Households' deposits with an agreed maturity of over 2 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:53,
2000-01,4.7548,Estimated value
2000-02,4.8548,Estimated value
2000-03,4.9048,Estimated value
2000-04,4.9048,Estimated value
2000-05,5.1048,Estimated value
2000-06,5.1848,Estimated value
2000-07,5.2648,Estimated value
2000-08,5.2948,Estimated value
2000-09,5.3548,Estimated value
2000-10,5.3448,Estimated value
2000-11,5.3448,Estimated value
2000-12,5.1248,Estimated value
2001-01,4.8348,Estimated value
2001-02,4.7848,Estimated value
2001-03,4.7348,Estimated value
2001-04,4.6348,Estimated value
2001-05,4.6748,Estimated value
2001-06,4.6748,Estimated value
2001-07,4.6248,Estimated value
2001-08,4.5248,Estimated value
2001-09,4.3548,Estimated value
2001-10,4.1348,Estimated value
2001-11,3.8448,Estimated value
2001-12,4.0148,Estimated value
2002-01,4.0948,Estimated value
2002-02,4.2648,Estimated value
2002-03,4.4348,Estimated value
2002-04,4.5148,Estimated value
2002-05,4.5148,Estimated value
2002-06,4.4848,Estimated value
2002-07,4.3748,Estimated value
2002-08,4.0648,Estimated value
2002-09,3.8648,Estimated value
2002-10,3.7448,Estimated value
2002-11,3.7148,Estimated value
2002-12,3.5948,Estimated value
