"",BBEX3.M.RWF.EUR.CA.AB.A01,BBEX3.M.RWF.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Rwanda  / EUR 1 = RWF ... (selling),
unit,RWF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:29,
1999-01,376.006400,
1999-02,370.502400,
1999-03,363.595500,
1999-04,360.330000,
1999-05,359.181600,
1999-06,353.323500,
1999-07,358.308600,
1999-08,354.432600,
1999-09,356.709300,
1999-10,361.105700,
1999-11,349.904300,
1999-12,353.978600,
2000-01,357.456000,
2000-02,355.085500,
2000-03,353.487400,
2000-04,345.457900,
2000-05,357.510700,
2000-06,373.107100,
2000-07,370.392700,
2000-08,372.355400,
2000-09,368.011800,
2000-10,357.757300,
2000-11,371.654000,
2000-12,401.661500,
2001-01,399.415200,
2001-02,399.055700,
2001-03,386.823300,
2001-04,397.536900,
2001-05,377.502600,
2001-06,378.721700,
2001-07,388.706900,
2001-08,404.411400,
2001-09,415.934100,
2001-10,413.892400,
2001-11,409.113400,
2001-12,405.568900,
2002-01,398.025400,
2002-02,401.499800,
2002-03,403.808800,
2002-04,421.202900,
2002-05,439.707800,
2002-06,464.305100,
2002-07,468.458500,
2002-08,479.785300,
2002-09,479.085700,
2002-10,485.473900,
2002-11,501.783200,
2002-12,536.327100,
2003-01,556.585900,
2003-02,557.580000,
2003-03,556.461200,
2003-04,577.579300,
2003-05,626.025000,
2003-06,615.999500,
2003-07,626.207300,
2003-08,605.730700,
2003-09,641.794400,
2003-10,659.929000,
2003-11,677.885264,
2003-12,729.443171,
2004-01,730.393599,
2004-02,731.751957,
2004-03,713.970995,
2004-04,693.064382,
2004-05,709.609094,
2004-06,707.613666,
2004-07,699.514572,
2004-08,698.741325,
2004-09,709.052324,
2004-10,727.507239,
2004-11,756.334659,
2004-12,775.296999,
2005-01,739.776983,
2005-02,748.202300,
2005-03,728.429427,
2005-04,727.762107,
2005-05,701.267895,
2005-06,677.460149,
2005-07,672.301383,
2005-08,681.740042,
2005-09,671.040812,
2005-10,674.785040,
2005-11,655.371756,
2005-12,659.159199,
2006-01,679.440803,
2006-02,660.011841,
2006-03,667.275780,
2006-04,692.268924,
2006-05,711.363824,
2006-06,696.456759,
2006-07,705.677232,
2006-08,710.531181,
2006-09,702.743704,
2006-10,704.328953,
2006-11,728.255936,
2006-12,725.195509,
2007-01,715.415252,
2007-02,728.237456,
2007-03,733.698306,
2007-04,749.186515,
2007-05,739.361799,
2007-06,741.908546,
2007-07,755.016979,
2007-08,750.161057,
2007-09,778.529439,
2007-10,790.315289,
2007-11,808.301440,
2007-12,805.022826,
2008-01,809.223002,
2008-02,826.328144,
2008-03,866.424431,
2008-04,851.737932,
2008-05,849.689026,
2008-06,861.143962,
2008-07,855.527523,
2008-08,815.610000,
2008-09,808.330000,
2008-10,726.040000,
2008-11,721.080000,
2008-12,796.770000,
2009-01,747.610000,
2009-02,729.410000,
2009-03,753.980000,
2009-04,757.090000,
2009-05,791.980000,
2009-06,803.760000,
2009-07,805.260000,
2009-08,820.350000,
2009-09,832.780000,
2009-10,840.920000,
2009-11,855.440000,
2009-12,823.320000,
2010-01,806.750000,
2010-02,777.130000,
2010-03,777.630000,
2010-04,768.000000,
2010-05,725.110000,
2010-06,721.840000,
2010-07,775.050000,
2010-08,749.380000,
2010-09,807.330000,
2010-10,821.265588,
2010-11,785.513215,
2010-12,784.777315,
2011-01,828.923899,
2011-02,831.632508,
2011-03,852.851292,
2011-04,898.611574,
2011-05,857.715643,
2011-06,876.181446,
2011-07,863.480321,
2011-08,872.966822,
2011-09,823.353632,
2011-10,856.345771,
2011-11,812.245352,
2011-12,783.506092,
2012-01,800.131275,
2012-02,820.645234,
2012-03,812.075739,
2012-04,810.617976,
2012-05,763.180602,
2012-06,767.149513,
2012-07,757.877619,
2012-08,776.856981,
2012-09,807.553065,
2012-10,818.371763,
2012-11,824.313030,
2012-12,843.943155,
2013-01,863.286186,
2013-02,837.779863,
2013-03,818.285439,
2013-04,842.612698,
2013-05,838.942511,
2013-06,843.579941,
2013-07,867.881392,
2013-08,869.656107,
2013-09,894.149184,
2013-10,919.107902,
2013-11,912.180802,
2013-12,930.988574,
2014-01,925.502861,
2014-02,931.439139,
2014-03,939.886992,
2014-04,949.951215,
2014-05,935.802586,
2014-06,940.249304,
2014-07,925.431775,
2014-08,911.209698,
2014-09,880.533084,
2014-10,878.213392,
2014-11,869.229437,
2014-12,852.157165,
2015-01,801.672184,
"","Source: Banque Nationale du Rwanda, Kigali",
