"",BBK01.OEBM05M,BBK01.OEBM05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:46,
2002-01,0.038,
2002-04,0.038,
2002-07,0.049,
2002-10,0.051,
2003-01,0.052,
2003-04,0.050,
2003-07,0.048,
2003-10,0.050,
2004-01,0.048,
2004-04,0.046,
2004-07,0.053,
2004-10,0.067,
2005-01,0.066,
2005-04,0.065,
2005-07,0.052,
2005-10,0.052,
2006-01,0.051,
2006-04,0.051,
2006-07,0.050,
2006-10,0.059,
2007-01,0.088,
2007-04,0.087,
2007-07,0.089,
2007-10,0.053,
2008-01,0.041,
2008-04,0.058,
2008-07,0.040,
2008-10,0.039,
2009-01,0.039,
2009-04,0.076,
2009-07,0.077,
2009-10,0.077,
2010-01,0.085,
2010-04,0.085,
2010-07,0.085,
2010-10,0.105,
2011-01,0.101,
2011-04,0.101,
2011-07,0.102,
2011-10,0.101,
2012-01,0.104,
2012-04,0.111,
2012-07,0.113,
2012-10,0.107,
2013-01,0.119,
2013-04,0.122,
2013-07,0.135,
2013-10,0.139,
2014-01,0.130,
2014-04,0.120,
2014-07,0.120,
