"",BBFB1.Q.N.DE.US.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:53,
1991-01,1433.147,
1991-04,2132.152,
1991-07,1443.109,
1991-10,1472.683,
1992-01,677.310,
1992-04,979.690,
1992-07,649.758,
1992-10,84.658,
1993-01,939.847,
1993-04,965.319,
1993-07,1008.120,
1993-10,870.028,
1994-01,1529.815,
1994-04,1658.424,
1994-07,1605.483,
1994-10,1757.164,
1995-01,1882.363,
1995-04,1192.535,
1995-07,1724.726,
1995-10,1556.573,
1996-01,905.314,
1996-04,1604.429,
1996-07,1325.965,
1996-10,1825.146,
1997-01,1581.393,
1997-04,2352.293,
1997-07,1874.180,
1997-10,2472.594,
1998-01,1653.692,
1998-04,2496.727,
1998-07,2657.612,
1998-10,2993.702,
1999-01,2691.516,
1999-04,2234.862,
1999-07,1940.197,
1999-10,2996.122,
2000-01,3292.304,
2000-04,3604.910,
2000-07,3458.589,
2000-10,5213.070,
2001-01,3251.199,
2001-04,3702.035,
2001-07,3067.219,
2001-10,2921.141,
2002-01,3210.680,
2002-04,3753.599,
2002-07,3118.823,
2002-10,3129.215,
2003-01,2698.592,
2003-04,2825.378,
2003-07,2529.320,
2003-10,2481.381,
2004-01,246.050,
2004-04,789.115,
2004-07,96.096,
2004-10,174.524,
2005-01,2139.000,
2005-04,3035.988,
2005-07,2097.519,
2005-10,2178.035,
2006-01,2383.166,
2006-04,3962.583,
2006-07,2438.644,
2006-10,2513.481,
2007-01,3438.810,
2007-04,6044.381,
2007-07,3041.770,
2007-10,2775.508,
2008-01,6693.037,
2008-04,4154.077,
2008-07,-927.244,
2008-10,1786.104,
2009-01,2972.134,
2009-04,5460.819,
2009-07,2913.843,
2009-10,3159.066,
2010-01,2845.986,
2010-04,5618.504,
2010-07,3027.283,
2010-10,3018.037,
2011-01,3309.760,
2011-04,6317.820,
2011-07,2808.547,
2011-10,2863.246,
2012-01,3108.925,
2012-04,6079.390,
2012-07,2756.496,
2012-10,2732.152,
2013-01,3359.415,
2013-04,6358.283,
2013-07,2948.491,
2013-10,3001.824,
2014-01,3313.394,Provisional value
2014-04,6529.812,Provisional value
2014-07,2964.926,Provisional value
