"",BBK01.OEHK06V,BBK01.OEHK06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:02,
2002-01,0.069,
2002-04,0.071,
2002-07,0.072,
2002-10,0.074,
2003-01,0.074,
2003-04,0.072,
2003-07,0.070,
2003-10,0.068,
2004-01,0.072,
2004-04,0.071,
2004-07,0.068,
2004-10,0.065,
2005-01,0.065,
2005-04,0.062,
2005-07,0.059,
2005-10,0.060,
2006-01,0.061,
2006-04,0.062,
2006-07,0.063,
2006-10,0.063,
2007-01,0.065,
2007-04,0.067,
2007-07,0.073,
2007-10,0.078,
2008-01,0.083,
2008-04,0.088,
2008-07,0.099,
2008-10,0.103,
2009-01,0.094,
2009-04,0.079,
2009-07,0.068,
2009-10,0.067,
2010-01,0.065,
2010-04,0.061,
2010-07,0.058,
2010-10,0.058,
2011-01,0.058,
2011-04,0.063,
2011-07,0.063,
2011-10,0.059,
2012-01,0.059,
2012-04,0.058,
2012-07,0.055,
2012-10,0.050,
2013-01,0.048,
2013-04,0.048,
2013-07,0.046,
2013-10,0.045,
2014-01,0.043,
2014-04,0.040,
2014-07,0.040,
