"",BBEX3.M.KES.USD.CA.AB.A01,BBEX3.M.KES.USD.CA.AB.A01_FLAGS
2013-08,87.6856,
2013-09,86.7500,
2013-10,85.2456,
2013-11,87.0917,
2013-12,86.4056,
2014-01,86.3417,
2014-02,86.4222,
2014-03,86.5206,
2014-04,86.9628,
2014-05,87.8889,
2014-06,87.7217,
2014-07,87.8861,
2014-08,88.4750,
2014-09,89.3683,
2014-10,89.4339,
2014-11,90.2667,
2014-12,90.6644,
2015-01,91.7444,
2015-02,91.4911,
"","General: * The exchange rates have been classified as indicative exchange rates since November 1994. While the multiple exchange rate system was in place in 1993: official exchange rate. On 24 February 1993, a multiple exchange rate system was established with the introduction of legal free market rates. Official exchange rate: for the government's foreignexchange transactions. Free market rate: for all other transactions. Although the unification of the system was announced in March 1993, the free market rates continued to exist (alongside the official exchange rate); they only began to be officially confirmed again at the end of June 1993. The exchange rate system was unified on 18 October 1993.The term ""Kenya pound"" is a unit of account equivalent to 20 Kenya shillings.",
"","Source: Central Bank of Kenya, Nairobi",
"","Comment on 1993-02: On 24 February 1993, a multiple exchange rate system was established with the introduction of legal free market rates.  Free market rates (buying/selling) as at end-February 1993: USD 1 = KES 55.4400/58.0400.",
"","Comment on 1993-03: On 9 March 1993, the official exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling).  15 April 1993: USD 1 = KES 36.4130/36.5225  20 April 1993: USD 1 = KES 45.6313/45.7684 Calculated decaluation of the Kenya shilling for the official exchange rate: 20.2%.  Free market rates (buying/selling) on 22 March 1993: USD 1 = KES 67.6776/69.8868.",
"","Comment on 1993-04: On 20 April 1993, the official exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling).  15 April 1993: USD 1 = KES 45.5335/45.6704  20 April 1993: USD 1 = KES 59.9171/60.0972 Calculated devaluation of the Kenya shilling for the official exchange rate: 24.0%.  Free market rates at the end of April 1993 were not available.",
"",Comment on 1993-05: Free market rates as at the end of May 1993 were not available.,
"",Comment on 1993-06: Free market rates (buying/selling) as at end-June 1993: USD 1 = KES 81.3500/82.4000.,
"",Comment on 1993-07: Free market rates (buying/selling) as at end-July 1993: USD 1 = KES 80.8500/83.1100.,
"",Comment on 1993-08: Free market rates (buying/selling) as at end-August 1993: USD 1 = KES 70.0400/74.2700.,
"",Comment on 1993-09: Free market rates (buying/selling) as at end-September 1993: USD 1 = KES 69.3100/70.3900.,
"",Comment on 1995-07: Exchange rate as of 26 July 1995.,
"",Comment on 2007-12: Exchange rate as of 20 December 2007.,
