"",BBFN1.M.DE.N.1.A.IN.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IN.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:47,
1994-07,0.490,
1994-08,0.505,
1994-09,0.513,
1994-10,0.499,
1994-11,0.506,
1994-12,0.511,
1995-01,0.495,
1995-02,0.487,
1995-03,0.494,
1995-04,0.462,
1995-05,0.480,
1995-06,0.527,
1995-07,0.530,
1995-08,0.550,
1995-09,0.586,
1995-10,0.561,
1995-11,0.614,
1995-12,0.690,
1996-01,0.597,
1996-02,0.618,
1996-03,0.670,
1996-04,0.668,
1996-05,0.707,
1996-06,0.705,
1996-07,0.702,
1996-08,0.665,
1996-09,0.683,
1996-10,0.684,
1996-11,0.663,
1996-12,0.700,
1997-01,0.705,
1997-02,0.686,
1997-03,0.678,
1997-04,0.678,
1997-05,0.706,
1997-06,0.720,
1997-07,0.742,
1997-08,0.774,
1997-09,0.768,
1997-10,0.759,
1997-11,0.792,
1997-12,0.774,
1998-01,0.718,
1998-02,0.732,
1998-03,0.742,
1998-04,0.721,
1998-05,0.717,
1998-06,0.692,
1998-07,0.692,
1998-08,0.713,
1998-09,0.713,
1998-10,0.692,
1998-11,0.676,
1998-12,0.658,
1999-01,0.641,
1999-02,0.648,
1999-03,0.688,
1999-04,0.637,
1999-05,0.677,
1999-06,0.726,
1999-07,0.713,
1999-08,0.739,
1999-09,0.704,
1999-10,0.761,
1999-11,0.747,
1999-12,0.769,
2000-01,0.763,
2000-02,0.682,
2000-03,0.717,
2000-04,0.705,
2000-05,0.708,
2000-06,0.672,
2000-07,0.729,
2000-08,0.725,
2000-09,0.786,
2000-10,0.797,
2000-11,0.698,
2000-12,0.744,
2001-01,0.699,
2001-02,0.721,
2001-03,0.732,
2001-04,0.776,
2001-05,0.756,
2001-06,0.784,
2001-07,0.760,
2001-08,0.756,
2001-09,0.765,
2001-10,0.787,
2001-11,0.772,
2001-12,0.756,
2002-01,0.721,
2002-02,0.727,
2002-03,0.724,
2002-04,0.722,
2002-05,0.823,
2002-06,0.773,
2002-07,0.756,
2002-08,0.754,
2002-09,0.763,
2002-10,0.758,
2002-11,0.779,
2002-12,0.784,
2003-01,0.784,
2003-02,0.837,
2003-03,0.798,
2003-04,0.870,
2003-05,0.741,
2003-06,0.713,
2003-07,0.733,
2003-08,0.722,
2003-09,0.671,
2003-10,0.668,
2003-11,0.689,
2003-12,0.711,
2004-01,0.665,
2004-02,0.664,
2004-03,0.659,
2004-04,0.650,
2004-05,0.693,
2004-06,0.705,
2004-07,0.702,
2004-08,0.730,
2004-09,0.747,
2004-10,0.736,
2004-11,0.730,
2004-12,0.717,
2005-01,0.688,
2005-02,0.750,
2005-03,0.789,
2005-04,0.762,
2005-05,0.774,
2005-06,0.759,
2005-07,0.804,
2005-08,0.777,
2005-09,0.779,
2005-10,0.837,
2005-11,0.842,
2005-12,0.885,
2006-01,0.835,
2006-02,0.862,
2006-03,0.941,
2006-04,0.920,
2006-05,0.911,
2006-06,0.908,
2006-07,0.950,
2006-08,0.987,
2006-09,0.960,
2006-10,0.997,
2006-11,0.996,
2006-12,1.088,
2007-01,1.109,
2007-02,1.084,
2007-03,1.080,
2007-04,1.085,
2007-05,1.105,
2007-06,1.133,
2007-07,1.186,
2007-08,1.158,
2007-09,1.263,
2007-10,1.238,
2007-11,1.278,
2007-12,1.379,
2008-01,1.306,
2008-02,1.350,
2008-03,1.456,
2008-04,1.439,
2008-05,1.469,
2008-06,1.518,
2008-07,1.565,
2008-08,1.589,
2008-09,1.616,
2008-10,1.879,
2008-11,1.641,
2008-12,1.567,
2009-01,1.454,
2009-02,1.448,
2009-03,1.478,
2009-04,1.484,
2009-05,1.391,
2009-06,1.431,
2009-07,1.484,
2009-08,1.561,
2009-09,1.618,
2009-10,1.596,
2009-11,1.615,
2009-12,1.695,
2010-01,1.666,
2010-02,1.701,
2010-03,1.721,
2010-04,1.779,
2010-05,1.829,
2010-06,1.909,
2010-07,1.956,
2010-08,1.994,
2010-09,2.016,
2010-10,2.112,
2010-11,2.114,
2010-12,2.148,
2011-01,2.148,
2011-02,2.185,
2011-03,2.292,
2011-04,2.384,
2011-05,2.410,
2011-06,2.331,
2011-07,2.418,
2011-08,2.432,
2011-09,2.514,
2011-10,2.592,
2011-11,2.586,
2011-12,2.392,
2012-01,2.377,
2012-02,2.369,
2012-03,2.331,
2012-04,2.351,
2012-05,2.344,
2012-06,2.524,
2012-07,2.500,
2012-08,2.538,
2012-09,2.494,
2012-10,2.492,
2012-11,2.455,
2012-12,2.499,
2013-01,2.292,
2013-02,2.277,
2013-03,2.270,
2013-04,2.305,
2013-05,2.358,
2013-06,2.409,
2013-07,2.338,
2013-08,2.352,
2013-09,2.504,
2013-10,2.451,
2013-11,2.396,
2013-12,2.347,
2014-01,2.219,
2014-02,2.251,
2014-03,2.194,
2014-04,2.244,
2014-05,2.299,
2014-06,2.354,
2014-07,2.366,
2014-08,2.380,
2014-09,2.412,
2014-10,2.448,
2014-11,2.437,
2014-12,2.443,
