"",BBK01.OEXB17J,BBK01.OEXB17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:24,
2002-01,0.993,
2002-04,0.994,
2002-07,1.003,
2002-10,1.002,
2003-01,1.004,
2003-04,1.023,
2003-07,1.045,
2003-10,1.050,
2004-01,1.070,
2004-04,1.076,
2004-07,1.088,
2004-10,1.019,
2005-01,1.012,
2005-04,1.026,
2005-07,1.095,
2005-10,1.107,
2006-01,1.099,
2006-04,1.097,
2006-07,1.160,
2006-10,1.193,
2007-01,1.190,
2007-04,1.188,
2007-07,1.177,
2007-10,1.172,
2008-01,1.160,
2008-04,1.210,
2008-07,1.212,
2008-10,1.200,
2009-01,1.212,
2009-04,1.212,
2009-07,1.182,
2009-10,1.172,
2010-01,1.158,
2010-04,1.153,
2010-07,1.164,
2010-10,1.178,
2011-01,1.182,
2011-04,1.163,
2011-07,1.165,
2011-10,1.151,
2012-01,1.151,
2012-04,1.143,
2012-07,1.098,
2012-10,1.096,
2013-01,1.091,
2013-04,1.089,
2013-07,1.094,
2013-10,1.094,
2014-01,1.101,
2014-04,1.106,
2014-07,1.125,
