"",BBK01.OEXL05S,BBK01.OEXL05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:17,
2002-01,0.006,
2002-04,0.007,
2002-07,0.006,
2002-10,0.005,
2003-01,0.006,
2003-04,0.006,
2003-07,0.006,
2003-10,0.004,
2004-01,0.004,
2004-04,0.004,
2004-07,0.006,
2004-10,0.005,
2005-01,0.006,
2005-04,0.006,
2005-07,0.006,
2005-10,0.007,
2006-01,0.007,
2006-04,0.009,
2006-07,0.009,
2006-10,0.009,
2007-01,0.010,
2007-04,0.012,
2007-07,0.012,
2007-10,0.013,
2008-01,0.013,
2008-04,0.013,
2008-07,0.013,
2008-10,0.013,
2009-01,0.021,
2009-04,0.030,
2009-07,0.033,
2009-10,0.034,
2010-01,0.033,
2010-04,0.033,
2010-07,0.035,
2010-10,0.036,
2011-01,0.041,
2011-04,0.043,
2011-07,0.042,
2011-10,0.043,
2012-01,0.040,
2012-04,0.032,
2012-07,0.032,
2012-10,0.034,
2013-01,0.036,
2013-04,0.037,
2013-07,0.039,
2013-10,0.044,
2014-01,0.041,
2014-04,0.041,
2014-07,0.041,
