"",BBEE1.M.I7.AAA.XZE01B.A.AABAN.M00,BBEE1.M.I7.AAA.XZE01B.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-20 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:13,
1993-01,96.7929,
1993-02,96.1890,
1993-03,95.2110,
1993-04,96.1284,
1993-05,95.9167,
1993-06,94.5011,
1993-07,91.9474,
1993-08,91.6840,
1993-09,94.7618,
1993-10,94.5409,
1993-11,92.7747,
1993-12,92.6938,
1994-01,93.8217,
1994-02,93.8773,
1994-03,95.4185,
1994-04,95.5777,
1994-05,96.9046,
1994-06,97.6321,
1994-07,99.5293,
1994-08,99.7962,
1994-09,99.9921,
1994-10,100.8296,
1994-11,99.9024,
1994-12,98.9428,
1995-01,100.3628,
1995-02,101.2724,
1995-03,102.9194,
1995-04,103.1847,
1995-05,102.7200,
1995-06,103.2342,
1995-07,104.6894,
1995-08,103.8593,
1995-09,103.6223,
1995-10,105.0320,
1995-11,105.5626,
1995-12,104.9813,
1996-01,105.0061,
1996-02,104.9099,
1996-03,104.6384,
1996-04,103.9269,
1996-05,103.1015,
1996-06,103.5792,
1996-07,104.7990,
1996-08,105.6025,
1996-09,104.8694,
1996-10,104.0768,
1996-11,104.2130,
1996-12,103.1489,
1997-01,101.7659,
1997-02,100.1842,
1997-03,99.5067,
1997-04,99.0740,
1997-05,98.6472,
1997-06,97.2747,
1997-07,94.5908,
1997-08,93.9946,
1997-09,96.3710,
1997-10,97.2901,
1997-11,98.5974,
1997-12,98.8538,
1998-01,98.1736,
1998-02,97.4863,
1998-03,96.5338,
1998-04,97.0400,
1998-05,99.4834,
1998-06,99.4291,
1998-07,99.0423,
1998-08,100.3697,
1998-09,103.1050,
1998-10,104.5180,
1998-11,102.6425,
1998-12,102.7753,
1999-01,101.7127,
1999-02,100.0306,
1999-03,98.6343,
1999-04,97.4390,
1999-05,96.9884,
1999-06,95.1310,
1999-07,95.1240,
1999-08,95.9439,
1999-09,94.5051,
1999-10,95.5833,
1999-11,93.2914,
1999-12,91.4553,
2000-01,91.4321,
2000-02,90.3090,
2000-03,88.8649,
2000-04,87.5119,
2000-05,85.9823,
2000-06,88.8437,
2000-07,88.2708,
2000-08,85.9665,
2000-09,84.2961,
2000-10,83.1737,
2000-11,83.7387,
2000-12,86.5610,
2001-01,89.9580,
2001-02,89.0303,
2001-03,88.8470,
2001-04,87.8958,
2001-05,86.2686,
2001-06,84.8478,
2001-07,85.6434,
2001-08,88.2171,
2001-09,88.7048,
2001-10,88.4808,
2001-11,87.1765,
2001-12,87.6435,
2002-01,87.3488,
2002-02,86.5719,
2002-03,86.6785,
2002-04,86.9463,
2002-05,88.5941,
2002-06,90.6786,
2002-07,92.0952,
2002-08,91.5807,
2002-09,91.5826,
2002-10,91.8953,
2002-11,92.6829,
2002-12,93.7027,
2003-01,96.0384,
2003-02,97.3561,
2003-03,98.1884,
2003-04,98.7048,
2003-05,102.3843,
2003-06,102.8743,
2003-07,101.6961,
2003-08,100.5652,
2003-09,100.4596,
2003-10,102.1308,
2003-11,102.1423,
2003-12,104.9914,
2004-01,106.2035,
2004-02,106.1341,
2004-03,104.2382,
2004-04,102.5451,
2004-05,103.1481,
2004-06,103.0409,
2004-07,103.4661,
2004-08,103.2372,
2004-09,103.5258,
2004-10,104.6135,
2004-11,105.9116,
2004-12,107.1350,
2005-01,105.9220,
2005-02,105.0866,
2005-03,105.8115,
2005-04,105.0286,
2005-05,104.0385,
2005-06,101.3574,
2005-07,101.7295,
2005-08,102.0733,
2005-09,101.5251,
2005-10,101.1790,
2005-11,100.4557,
2005-12,100.4204,
2006-01,101.0700,
2006-02,100.2953,
2006-03,101.0979,
2006-04,102.1466,
2006-05,103.2189,
2006-06,103.4240,
2006-07,103.7069,
2006-08,103.7758,
2006-09,103.5847,
2006-10,102.9604,
2006-11,103.4872,
2006-12,104.4874,
2007-01,103.8559,
2007-02,104.3145,
2007-03,104.9799,
2007-04,105.8698,
2007-05,105.8468,
2007-06,105.4411,
2007-07,105.9908,
2007-08,105.6711,
2007-09,106.6215,
2007-10,107.6354,
2007-11,109.0562,
2007-12,108.9686,
2008-01,109.3943,
2008-02,109.0182,
2008-03,111.6194,
2008-04,112.5664,
2008-05,111.9352,
2008-06,111.5867,
2008-07,111.5918,
2008-08,109.3932,
2008-09,107.7466,
2008-10,104.4880,
2008-11,103.6009,
2008-12,108.7103,
2009-01,108.5800,
2009-02,107.7222,
2009-03,109.9280,
2009-04,109.0766,
2009-05,109.7136,
2009-06,110.9643,
2009-07,110.5644,
2009-08,110.5250,
2009-09,111.7336,
2009-10,113.0101,
2009-11,112.8761,
2009-12,111.7967,
2010-01,109.6532,
2010-02,106.9162,
2010-03,106.1509,
2010-04,104.9248,
2010-05,101.7799,
2010-06,99.7578,
2010-07,101.5397,
2010-08,101.1920,
2010-09,101.5111,
2010-10,104.9221,
2010-11,103.7036,
2010-12,101.6425,
2011-01,101.3824,
2011-02,102.4236,
2011-03,104.1152,
2011-04,105.8173,
2011-05,104.8286,
2011-06,104.9360,
2011-07,104.0150,
2011-08,103.8381,
2011-09,102.7546,
2011-10,102.9681,
2011-11,102.5685,
2011-12,100.7958,
2012-01,98.9658,
2012-02,99.6689,
2012-03,99.8637,
2012-04,99.4761,
2012-05,98.0734,
2012-06,97.2112,
2012-07,95.3825,
2012-08,95.2256,
2012-09,97.2091,
2012-10,97.7898,
2012-11,97.2438,
2012-12,98.6848,
2013-01,100.3816,
2013-02,101.6343,
2013-03,100.2178,
2013-04,100.4591,
2013-05,100.5490,
2013-06,101.5646,
2013-07,101.5207,
2013-08,102.1943,
2013-09,101.9778,
2013-10,102.8460,
2013-11,102.6419,
2013-12,103.8503,
2014-01,103.4152,
2014-02,103.5511,
2014-03,104.6457,
2014-04,104.5179,
2014-05,103.8333,
2014-06,102.9951,
2014-07,102.5842,
2014-08,101.9150,
2014-09,100.3821,
2014-10,99.5721,
2014-11,99.5471,
2014-12,99.5996,
"",Source: European Central Bank: EXR.M.E1.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Japan, Lithuania, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland,the United Kingdom and the United States.                       The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
