"",BBK01.OEAC07U,BBK01.OEAC07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:17,
2002-01,0.312,
2002-04,0.310,
2002-07,0.301,
2002-10,0.306,
2003-01,0.306,
2003-04,0.297,
2003-07,0.296,
2003-10,0.303,
2004-01,0.303,
2004-04,0.296,
2004-07,0.290,
2004-10,0.292,
2005-01,0.293,
2005-04,0.302,
2005-07,0.295,
2005-10,0.297,
2006-01,0.302,
2006-04,0.306,
2006-07,0.306,
2006-10,0.303,
2007-01,0.308,
2007-04,0.305,
2007-07,0.299,
2007-10,0.301,
2008-01,0.310,
2008-04,0.317,
2008-07,0.315,
2008-10,0.316,
2009-01,0.338,
2009-04,0.330,
2009-07,0.320,
2009-10,0.312,
2010-01,0.330,
2010-04,0.330,
2010-07,0.321,
2010-10,0.338,
2011-01,0.337,
2011-04,0.354,
2011-07,0.347,
2011-10,0.371,
2012-01,0.362,
2012-04,0.367,
2012-07,0.358,
2012-10,0.376,
2013-01,0.376,
2013-04,0.531,
2013-07,0.524,
2013-10,0.563,
2014-01,0.800,
2014-04,0.876,
2014-07,0.865,
