"",BBK01.OEAB11N,BBK01.OEAB11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:30,
2002-01,16.673,
2002-04,16.621,
2002-07,16.426,
2002-10,16.848,
2003-01,17.623,
2003-04,16.998,
2003-07,16.535,
2003-10,15.596,
2004-01,15.503,
2004-04,15.712,
2004-07,15.963,
2004-10,14.619,
2005-01,14.976,
2005-04,15.293,
2005-07,16.329,
2005-10,16.864,
2006-01,17.388,
2006-04,18.490,
2006-07,19.611,
2006-10,19.601,
2007-01,20.635,
2007-04,21.729,
2007-07,22.673,
2007-10,23.613,
2008-01,26.443,
2008-04,27.330,
2008-07,25.598,
2008-10,26.838,
2009-01,24.691,
2009-04,24.901,
2009-07,25.467,
2009-10,25.766,
2010-01,25.726,
2010-04,25.408,
2010-07,25.435,
2010-10,26.000,
2011-01,25.597,
2011-04,24.731,
2011-07,24.977,
2011-10,25.164,
2012-01,25.638,
2012-04,25.123,
2012-07,24.156,
2012-10,23.785,
2013-01,24.107,
2013-04,24.312,
2013-07,22.813,
2013-10,22.603,
2014-01,23.824,
2014-04,24.188,
2014-07,24.119,
