"",BBK01.OEAE22V,BBK01.OEAE22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:42,
2002-01,0.304,
2002-04,0.306,
2002-07,0.298,
2002-10,0.294,
2003-01,0.345,
2003-04,0.399,
2003-07,0.362,
2003-10,0.313,
2004-01,0.427,
2004-04,0.403,
2004-07,0.507,
2004-10,0.503,
2005-01,0.490,
2005-04,0.395,
2005-07,0.362,
2005-10,0.231,
2006-01,0.226,
2006-04,0.169,
2006-07,0.166,
2006-10,0.179,
2007-01,0.142,
2007-04,0.133,
2007-07,0.121,
2007-10,0.069,
2008-01,0.107,
2008-04,0.116,
2008-07,0.119,
2008-10,0.112,
2009-01,0.089,
2009-04,0.251,
2009-07,0.254,
2009-10,0.245,
2010-01,0.160,
2010-04,0.159,
2010-07,0.110,
2010-10,0.112,
2011-01,0.095,
2011-04,0.088,
2011-07,0.090,
2011-10,0.090,
2012-01,0.089,
2012-04,0.052,
2012-07,0.052,
2012-10,0.055,
2013-01,0.043,
2013-04,0.051,
2013-07,0.044,
2013-10,0.052,
2014-01,0.052,
2014-04,0.051,
2014-07,0.060,
