"",BBK01.OELI08H,BBK01.OELI08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:10,
2002-01,31.871,
2002-04,31.636,
2002-07,31.596,
2002-10,32.737,
2003-01,33.394,
2003-04,33.705,
2003-07,34.026,
2003-10,34.945,
2004-01,35.338,
2004-04,35.389,
2004-07,35.324,
2004-10,35.816,
2005-01,35.737,
2005-04,35.483,
2005-07,35.545,
2005-10,36.495,
2006-01,36.536,
2006-04,36.062,
2006-07,35.154,
2006-10,34.980,
2007-01,34.028,
2007-04,33.428,
2007-07,32.690,
2007-10,32.619,
2008-01,31.885,
2008-04,31.433,
2008-07,30.581,
2008-10,31.084,
2009-01,31.506,
2009-04,31.853,
2009-07,32.305,
2009-10,33.369,
2010-01,34.491,
2010-04,35.317,
2010-07,36.161,
2010-10,37.312,
2011-01,37.941,
2011-04,37.855,
2011-07,37.477,
2011-10,38.076,
2012-01,38.368,
2012-04,38.696,
2012-07,38.706,
2012-10,39.256,
2013-01,39.322,
2013-04,39.332,
2013-07,39.649,
2013-10,40.147,
2014-01,40.051,
2014-04,39.993,
2014-07,39.857,
