"",BBEX3.M.BTN.EUR.CA.AC.A01,BBEX3.M.BTN.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Bhutan / EUR 1 = BTN ... (middle),
unit,BTN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:27,
1999-01,48.6850,
1999-02,48.1250,
1999-03,46.2500,
1999-04,45.4950,
1999-05,44.8800,
1999-06,44.8000,
1999-07,46.2300,
1999-08,45.4050,
1999-09,45.0250,
1999-10,46.8000,
1999-11,44.2500,
1999-12,43.9700,
2000-01,43.6500,
2000-02,43.7900,
2000-03,41.9450,
2000-04,40.3000,
2000-05,39.8950,
2000-06,42.5550,
2000-07,42.3400,
2000-08,41.3650,
2000-09,40.7900,
2000-10,38.9700,
2000-11,39.3000,
2000-12,42.7950,
2001-01,43.6100,
2001-02,42.3650,
2001-03,41.3600,
2001-04,41.5300,
2001-05,40.2150,
2001-06,40.4550,
2001-07,41.5400,
2001-08,42.7950,
2001-09,43.8900,
2001-10,43.4700,
2001-11,42.1700,
2001-12,42.4100,
2002-01,42.4300,
2002-02,42.3200,
2002-03,42.7750,
2002-04,43.9850,
2002-05,45.9150,
2002-06,48.1100,
2002-07,47.9650,
2002-08,47.8750,
2002-09,47.3650,
2002-10,47.6550,
2002-11,47.9200,
2002-12,50.0050,
2003-01,51.6300,
2003-02,51.2500,
2003-03,51.4400,
2003-04,52.7100,
2003-05,55.8300,
2003-06,53.1200,
2003-07,52.3100,
2003-08,49.9100,
2003-09,52.5400,
2003-10,52.6600,
2003-11,54.8000,
2003-12,57.3100,
2004-01,56.1300,
2004-02,56.2900,
2004-03,53.1000,
2004-04,52.4600,
2004-05,55.5800,
2004-06,55.5400,
2004-07,55.9500,
2004-08,56.0000,
2004-09,56.8500,
2004-10,57.8900,
2004-11,59.3300,
2004-12,59.5300,
2005-01,56.9000,
2005-02,57.9400,
2005-03,56.5800,
2005-04,56.6000,
2005-05,54.5200,
2005-06,52.6800,
2005-07,52.7300,
2005-08,53.8000,
2005-09,53.0900,
2005-10,54.8200,
2005-11,54.1600,
2005-12,53.5000,
2006-01,53.3200,
2006-02,52.7000,
2006-03,54.2000,
2006-04,56.0700,
2006-05,59.0300,
2006-06,58.1400,
2006-07,59.3100,
2006-08,59.7100,
2006-09,58.3300,
2006-10,57.3200,
2006-11,58.9300,
2006-12,58.2600,
2007-01,57.1300,
2007-02,58.5800,
2007-03,58.1400,
2007-04,56.2000,
2007-05,54.7400,
2007-06,55.0900,
2007-07,55.4200,
2007-08,55.9600,
2007-09,56.3000,
2007-10,56.7500,
2007-11,58.4600,
2007-12,58.1200,
2008-01,58.7300,
2008-02,60.6300,
2008-03,63.0900,
2008-04,63.0900,
2008-05,65.9900,
2008-06,67.8100,
2008-07,66.3300,
2008-08,64.5600,
2008-09,67.7900,
2008-10,62.8400,
2008-11,64.3800,
2008-12,68.2200,
2009-01,63.2500,
2009-02,64.5700,
2009-03,67.4800,
2009-04,66.2900,
2009-05,66.1800,
2009-06,67.6900,
2009-07,68.0800,
2009-08,69.7000,
2009-09,70.5300,
2009-10,69.6500,
2009-11,69.9900,
2009-12,67.0200,
2010-01,64.6300,
2010-02,62.4000,
2010-03,60.7650,
2010-04,59.0050,
2010-05,57.6250,
2010-06,56.8000,
2010-07,61.0050,
2010-08,59.7050,
2010-09,61.2550,
2010-10,61.5900,
2010-11,60.7900,
2010-12,59.5150,
2011-01,62.8150,
2011-02,62.6750,
2011-03,63.1000,
2011-04,65.9850,
2011-05,64.4550,
2011-06,64.7500,
2011-07,63.2250,
2011-08,66.4100,
2011-09,66.9450,
2011-10,69.2900,
2011-11,69.4550,
2011-12,69.0350,
2012-01,65.0200,
2012-02,65.9950,
2012-03,67.9450,
2012-04,69.5750,
2012-05,69.8700,
2012-06,70.9200,
2012-07,68.1400,
2012-08,69.8600,
2012-09,68.1550,
2012-10,70.0250,
2012-11,71.4050,
2012-12,72.5350,
2013-01,72.2700,
2013-02,70.3400,
2013-03,69.6650,
2013-04,71.0650,
2013-05,72.9300,
2013-06,77.5600,
2013-07,79.8550,
2013-08,87.7750,
2013-09,84.1500,
2013-10,84.5650,
2013-11,85.1000,
2013-12,85.4100,
2014-01,85.5050,
2014-02,84.7600,
2014-03,82.2900,
2014-04,83.9050,
2014-05,80.2650,
2014-06,81.9200,
2014-07,80.6700,
2014-08,79.8400,
2014-09,77.8900,
2014-10,77.3650,
2014-11,77.2650,
2014-12,77.4350,
2015-01,70.2850,
2015-02,70.2700,
"",General: The Indian rupee is likewise legal tender alongside the Bhutanese ngultrum (convertible at par).,
"","Source: Since March 2010: Calculated on the basis of the buying and selling rates of the Bhutan National Bank Limited, Thimphu. 2003 - February 2010: Royal Monetary Authority of Bhutan, Thimphu. 1999 - 2002: Calculated on the basis of the buying and selling rates of the Royal Monetary Authority of Bhutan, Thimphu.",
