"",BBK01.OEAE28P,BBK01.OEAE28P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:14,
2002-01,3.763,
2002-04,3.788,
2002-07,3.817,
2002-10,3.873,
2003-01,3.904,
2003-04,3.884,
2003-07,3.909,
2003-10,4.014,
2004-01,4.022,
2004-04,4.092,
2004-07,4.134,
2004-10,4.157,
2005-01,4.131,
2005-04,4.152,
2005-07,4.102,
2005-10,4.049,
2006-01,4.072,
2006-04,4.020,
2006-07,3.956,
2006-10,3.828,
2007-01,3.828,
2007-04,3.838,
2007-07,3.875,
2007-10,3.867,
2008-01,3.868,
2008-04,3.924,
2008-07,3.974,
2008-10,3.959,
2009-01,3.805,
2009-04,3.906,
2009-07,3.952,
2009-10,3.957,
2010-01,3.931,
2010-04,4.112,
2010-07,4.111,
2010-10,4.102,
2011-01,4.067,
2011-04,4.095,
2011-07,4.057,
2011-10,4.045,
2012-01,4.071,
2012-04,4.429,
2012-07,4.485,
2012-10,4.471,
2013-01,4.485,
2013-04,4.517,
2013-07,4.384,
2013-10,4.483,
2014-01,4.407,
2014-04,4.617,
2014-07,4.662,
