"",BBK01.OEYM10L,BBK01.OEYM10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:27,
2002-01,2.231,
2002-04,2.211,
2002-07,2.221,
2002-10,2.227,
2003-01,2.261,
2003-04,2.226,
2003-07,2.236,
2003-10,2.222,
2004-01,2.232,
2004-04,2.204,
2004-07,2.208,
2004-10,2.193,
2005-01,2.200,
2005-04,2.162,
2005-07,0.904,
2005-10,0.900,
2006-01,0.866,
2006-04,0.864,
2006-07,0.856,
2006-10,0.854,
2007-01,0.814,
2007-04,0.812,
2007-07,0.799,
2007-10,0.799,
2008-01,0.920,
2008-04,0.810,
2008-07,0.778,
2008-10,0.737,
2009-01,0.720,
2009-04,0.701,
2009-07,0.692,
2009-10,0.690,
2010-01,0.668,
2010-04,0.657,
2010-07,0.654,
2010-10,0.653,
2011-01,0.628,
2011-04,0.605,
2011-07,0.602,
2011-10,0.613,
2012-01,0.582,
2012-04,0.559,
2012-07,0.557,
2012-10,0.557,
2013-01,0.574,
2013-04,0.560,
2013-07,0.556,
2013-10,0.582,
2014-01,0.550,
2014-04,0.544,
2014-07,0.543,
